repetition,query_label,query_id,query_duration_ms,read_rows,read_bytes,result_rows,memory_usage
1,day_peak_no_filter,37381b84-38be-43f6-b265-d7e9c61b482b,121,717218,11421568,1,17032604
1,hour_peak_no_filter,420894f0-bf25-4916-a748-7c64bfbc46c5,102,717218,11421568,1,27066581
1,minute_peak_no_filter,63f8e511-a2ca-41aa-847e-b533acbb7672,109,717218,11421568,1,27207437
1,day_peak_platform_android_phone,d82acfcf-3be9-4b95-835e-4c59ca628153,123,722456,12191843,1,17884616
1,day_peak_platform_sony_android_tv,de5b420c-9faa-45f2-b7bf-054ee09ce56e,119,722456,12190067,1,18691041
1,day_peak_video_type_live,86899074-20b9-428e-803b-5448dfa6eb98,117,719837,12154747,1,19977639
1,day_peak_iphone_india,03755d0d-e5ef-4eab-94e7-39e886122feb,144,727694,12831193,1,42514560
1,day_peak_vod_mweb,f829989f-8925-499e-b731-019832146c6c,106,722410,12864632,1,37188925
2,day_peak_no_filter,62075df5-6e5c-4247-96c7-299dbac7f3e4,124,717218,11421568,1,16972680
2,hour_peak_no_filter,af4a7def-ad8b-40fa-89c8-e24568c6f11b,97,717218,11421568,1,27029525
2,minute_peak_no_filter,f94f0af7-eee9-453e-a47a-ab910398047b,100,717218,11421568,1,27011061
2,day_peak_platform_android_phone,a61870ca-a99c-4d92-a4bb-d18ad6b72ce9,119,722456,12191843,1,20436928
2,day_peak_platform_sony_android_tv,8ba41a2e-93e7-4fee-9ca4-c3d672221b26,136,722456,12190067,1,18685329
2,day_peak_video_type_live,463796b7-63a2-4d6a-a72b-5b467fa37a31,121,719837,12154747,1,18186148
2,day_peak_iphone_india,6c7b154c-1a11-44e9-9a58-bc2a170bcfce,129,727694,12831193,1,42132128
2,day_peak_vod_mweb,349dd01b-8d29-42d1-a98b-9fc09ee7afb9,110,722410,12727815,1,81342387
3,day_peak_no_filter,9f5a2db4-2d08-443e-b6d5-48e481a83dbd,125,717218,11421568,1,16947796
3,hour_peak_no_filter,047d91dc-d768-47a1-ae64-d139517d5f1f,126,717218,11421568,1,16956564
3,minute_peak_no_filter,7a38f423-72cd-4d9a-8023-6b8145576c6a,104,717218,11421568,1,27030373
3,day_peak_platform_android_phone,0d93fabf-2a31-4795-a6e6-40b1dc181013,130,722456,12193229,1,33539869
3,day_peak_platform_sony_android_tv,1d204bee-fb47-47b2-9af9-ed53a7849183,119,722456,12190067,1,18691889
3,day_peak_video_type_live,947a797e-ad6d-4ccf-a212-cd2845942fbe,111,719837,12154871,1,35027687
3,day_peak_iphone_india,4dbb0efa-b275-4373-9c73-18c07c6df6c7,140,727694,12961219,1,24764685
3,day_peak_vod_mweb,9e0dc044-c3bc-4500-86d2-a3f884512b57,113,722410,12864632,1,37170845
4,day_peak_no_filter,74e06b63-92a4-4a56-a645-ab718072933b,119,717218,11421568,1,26999621
4,hour_peak_no_filter,db32ed4c-0227-4577-8fc4-071b9c36e940,105,717218,11421568,1,27058693
4,minute_peak_no_filter,162d825b-1b42-4726-9cfb-ad8c339b6331,111,717218,11421568,1,21213751
4,day_peak_platform_android_phone,2d56d57b-e30f-4c83-830d-1ddfbcc85979,149,722456,12193229,1,33589076
4,day_peak_platform_sony_android_tv,d448ca21-f29b-456e-8483-1af7f427cc9e,109,722456,12191453,1,36413123
4,day_peak_video_type_live,e388f7c0-679e-4d11-a1a0-7bc3eb190b2c,111,719837,12154871,1,33952458
4,day_peak_iphone_india,d11be3c1-7469-445b-bbd0-61f90fc87509,133,727694,12961219,1,24792445
4,day_peak_vod_mweb,ca5bc5cb-fdff-43d8-ac31-6092f294c4a3,107,722410,12864632,1,37188925
5,day_peak_no_filter,7e47f3be-fba7-4856-ad67-a1afeeb6e778,111,717218,11421568,1,16956068
5,hour_peak_no_filter,7fefb1b1-a9d6-47f1-9fe1-90df77cad119,111,717218,11421568,1,21220215
5,minute_peak_no_filter,7de865cc-d569-4604-83d1-c4cfe0addca5,97,717218,11421568,1,27017861
5,day_peak_platform_android_phone,31b660e7-ebb8-4902-b749-ba2542c58374,123,722456,12191843,1,17859232
5,day_peak_platform_sony_android_tv,5db1f5e5-82fa-4c75-9894-3daa6fe380e7,120,722456,12190067,1,18691041
5,day_peak_video_type_live,dc6fd6ad-b9fa-424d-a607-9cd3126ff7ce,109,719837,12154871,1,35197104
5,day_peak_iphone_india,b530acd9-a08e-416e-945b-4af1faa15c07,130,727694,12961219,1,24868365
5,day_peak_vod_mweb,e38448d3-1638-4363-8907-6d31763364c9,103,722410,12727815,1,84483629
