repetition,query_label,query_id,query_duration_ms,read_rows,read_bytes,result_rows,memory_usage
1,day_peak_no_filter,9c983b2c-34f7-4af6-b926-aa8fbd4f2b09,95,99414,1581894,1,8527337
1,hour_peak_no_filter,9441af1b-b3d2-416e-b68e-d8c0bc4cebaa,127,99414,1581894,1,8444105
1,minute_peak_no_filter,4b6b3daa-1e87-471f-814f-7bf2744a5afa,125,99414,1581894,1,8443481
1,day_peak_platform_android_phone,1171d313-ca46-4543-9215-4e9d504b044c,90,99874,1684674,1,8495380
1,day_peak_platform_sony_android_tv,d2bd9e0f-147f-4437-b6f4-2910549cf014,90,99874,1571618,1,8497956
1,day_peak_video_type_live,074a7df9-6c2c-46fe-8623-8ebf94c517a5,88,99644,1568857,1,8505627
1,day_peak_iphone_india,eb81622c-3714-4f29-8c71-10bf831fb8f0,97,100334,1787742,1,8542780
1,day_peak_vod_mweb,8041586e-98b9-4c55-add0-0ab1d11d5c1b,95,100104,1664847,1,8548118
2,day_peak_no_filter,1785bc74-d5ac-4104-b445-95974f587fda,83,99414,1581894,1,8450985
2,hour_peak_no_filter,24c5fff8-a4ac-4ca7-8bd7-0148b86d10d6,84,99414,1581894,1,8444129
2,minute_peak_no_filter,b7e4e90d-8f47-4379-8b0a-3c897ff05d0c,85,99414,1581894,1,8795729
2,day_peak_platform_android_phone,28d2ba61-1caf-4497-a86b-79ed05add77f,91,99874,1684674,1,8494316
2,day_peak_platform_sony_android_tv,e759acd0-ff5a-43c6-a658-5e7458d0a08f,88,99874,1571618,1,8495044
2,day_peak_video_type_live,52deedbc-19df-43a9-a595-853a2213ed8a,91,99644,1568857,1,8505603
2,day_peak_iphone_india,4df236f6-ff6e-4389-b994-ca9cfd5eddc8,97,100334,1787742,1,8543380
2,day_peak_vod_mweb,7129d118-f2ab-46f7-ac1d-d4ab05250b35,94,100104,1664847,1,8546814
3,day_peak_no_filter,36e8791b-e881-469b-9ad6-6ca93894c4df,84,99414,1581894,1,8446881
3,hour_peak_no_filter,b6302d08-a3d6-4c35-8bb9-34f828e42988,86,99414,1581894,1,8446881
3,minute_peak_no_filter,d542d301-f22b-4690-97e6-b70ccd061363,86,99414,1581894,1,8443985
3,day_peak_platform_android_phone,8920b966-e002-4bbf-9d86-fc6ace3d750f,105,99874,1684674,1,8653956
3,day_peak_platform_sony_android_tv,ec255022-e692-4f8d-afba-6fb11dfbcae0,90,99874,1571618,1,8494140
3,day_peak_video_type_live,bacc3f1c-2d9f-49e5-aed9-f5a89f07ab2a,103,99644,1568857,1,8659907
3,day_peak_iphone_india,20ca71e8-a15f-4647-9ccd-4ed539d09470,110,100334,1787742,1,8737684
3,day_peak_vod_mweb,c5ae342b-e046-4ee7-b1fc-0527a4d1135d,96,100104,1664847,1,8551366
4,day_peak_no_filter,7c6d17dc-6b0e-421b-8ee5-dee5f2d403ef,88,99414,1581894,1,8461921
4,hour_peak_no_filter,378f0941-2e0e-4c64-bc94-b6e2417b0087,88,99414,1581894,1,8443993
4,minute_peak_no_filter,66cd8c9a-54a8-409b-88fa-53a47c3e4046,86,99414,1581894,1,8444177
4,day_peak_platform_android_phone,97c7304e-6e1b-4aef-9fe4-ac81c73cb600,91,99874,1684674,1,8498684
4,day_peak_platform_sony_android_tv,a5bc76ad-faaf-4f1c-8dcc-9be845f3b932,100,99874,1571618,1,8653324
4,day_peak_video_type_live,3cd940d9-e713-47bb-ae83-8a8b37b435ec,91,99644,1568857,1,8508507
4,day_peak_iphone_india,5e7c544f-158b-46dc-9c9b-79d515f0e26b,97,100334,1787742,1,8543372
4,day_peak_vod_mweb,99e15c76-be30-4b1e-a45e-0674552d3b98,96,100104,1664847,1,8551822
5,day_peak_no_filter,e2309e11-e1ec-4561-a9a1-3db72e73d103,86,99414,1581894,1,8444177
5,hour_peak_no_filter,9dd10102-fdac-4b19-ba29-f2735854684c,87,99414,1581894,1,8451433
5,minute_peak_no_filter,b8c71891-8f82-44c5-ba06-268991ba055b,88,99414,1581894,1,8823129
5,day_peak_platform_android_phone,bbed2e7e-003a-4adf-8001-a86bd92ac95c,88,99874,1684674,1,8497924
5,day_peak_platform_sony_android_tv,c4ca92c6-b515-4cdf-8292-2130fd31cf99,89,99874,1571618,1,8494140
5,day_peak_video_type_live,b04c782e-5baa-454e-ae30-97650cd22873,93,99644,1568857,1,8505155
5,day_peak_iphone_india,ad454e13-aa83-4539-bea9-540e23497ee3,98,100334,1787742,1,8539268
5,day_peak_vod_mweb,861718de-3502-4861-a755-021f1462f252,92,100104,1664847,1,8550158
