repetition,query_label,query_id,query_duration_ms,read_rows,read_bytes,result_rows,memory_usage
1,day_peak_no_filter,f0fd1901-10b1-45a5-aa53-dd6bd83c6279,96,706223,11292488,1,16497716
1,hour_peak_no_filter,64a77a76-7dfa-40c1-8195-d0ff70091de9,93,705803,11287184,1,20780567
1,minute_peak_no_filter,ba5ed912-99a2-49f2-a2d0-71d67e11413c,94,705803,11287184,1,16467796
1,day_peak_platform_android_phone,f2d359ad-a0d6-4a59-9f17-58c6c78e090b,106,706643,12005827,1,17404552
1,day_peak_platform_sony_android_tv,6290ce62-d194-4565-b153-152b0c93715a,107,706643,12004051,1,18248713
1,day_peak_video_type_live,d3fbcf08-84cc-4ff7-b1b6-423498401c24,109,706223,11994547,1,17705764
1,day_peak_iphone_india,f0aa570f-5727-4c87-bd19-8011cf37646d,121,707483,12723571,1,24311085
1,day_peak_vod_mweb,8de1573c-6a7f-4a2f-a00f-a07198a235b8,95,706597,12678616,1,36752797
2,day_peak_no_filter,7b132c16-a1e0-4e12-8ab1-c82c7eba0f9a,99,705803,11287184,1,16549028
2,hour_peak_no_filter,dbb9af54-7926-455a-bb77-ced1e5367668,96,705803,11287184,1,16510884
2,minute_peak_no_filter,4ebb472c-862a-4762-b3b3-ce35e6a59e13,96,705803,11287184,1,20750759
2,day_peak_platform_android_phone,a8bde3fb-69f2-4eed-81d0-6b0d4826224d,106,706643,12005827,1,19992264
2,day_peak_platform_sony_android_tv,bbd249c8-785e-441c-b226-94a6c3d71a9b,107,706643,12004051,1,19859665
2,day_peak_video_type_live,866c974e-3e20-46c8-831e-8653adc6f51f,106,706223,11994547,1,19397015
2,day_peak_iphone_india,6cafccdd-9418-48ae-8a1b-5544cb2c1514,121,707483,12723571,1,24348309
2,day_peak_vod_mweb,a47bb1f0-8c0c-4763-a111-6cd529e66e71,95,706597,12678616,1,32463898
3,day_peak_no_filter,acc5b711-1cf2-4a87-9bf8-b2287605f414,94,705803,11287184,1,20747559
3,hour_peak_no_filter,03019064-7b26-4609-a08f-02c30dab6f6f,96,705803,11287184,1,20756055
3,minute_peak_no_filter,4aacad39-3b7e-415f-9b96-cd6ca51a95ce,96,705803,11287184,1,16503396
3,day_peak_platform_android_phone,73367035-4640-4b05-a088-58b7929d4d64,110,706643,12005827,1,19992016
3,day_peak_platform_sony_android_tv,b30c79f5-543b-489a-bb96-6fcadd1baf6a,109,706643,12004051,1,18210785
3,day_peak_video_type_live,d432a53c-5948-4c44-8258-cd3ab0d81908,105,706223,11994547,1,19396567
3,day_peak_iphone_india,890e3ca9-d414-4817-8b18-650ac3d19a23,118,707483,12723571,1,24310861
3,day_peak_vod_mweb,a689feae-9d89-46bd-a4bf-b32fb379b654,94,706597,12678616,1,36716861
4,day_peak_no_filter,607cdd92-f986-4855-a8fb-84e27305b96f,94,705803,11287184,1,16469988
4,hour_peak_no_filter,b51d0d2c-aaf4-4746-b791-f966f1d00b22,95,705803,11287184,1,20828055
4,minute_peak_no_filter,49e872a1-edb2-4837-90e2-ce0e83718fbf,96,705803,11287184,1,20786199
4,day_peak_platform_android_phone,0dc4612d-0809-4cea-a643-a418c3d76f80,107,706643,12005827,1,17404360
4,day_peak_platform_sony_android_tv,3171e975-bd94-4b27-b26d-f7eb7be56a3c,105,706643,12004051,1,18210785
4,day_peak_video_type_live,34c6ebf3-335c-487c-8502-d26a47eefb63,105,706223,11994547,1,19396567
4,day_peak_iphone_india,a4a58a81-5824-4e93-8edf-840bb9c07fce,124,707483,12723571,1,24348157
4,day_peak_vod_mweb,0ab10f0d-48b9-4071-97dc-2b2969068bd4,94,706597,12678616,1,31915784
5,day_peak_no_filter,f218eb29-683d-4c1a-96a1-1570276fda49,97,705803,11287184,1,16458676
5,hour_peak_no_filter,495f5584-f2c4-431f-a975-737774c05b56,96,705803,11287184,1,20781575
5,minute_peak_no_filter,5bfa42fa-2d62-4ddd-b30d-28c1d094fcd9,93,705803,11287184,1,20733863
5,day_peak_platform_android_phone,7c58c6ad-15c8-4f03-b83d-984a93a27d9d,108,706643,12005827,1,17406760
5,day_peak_platform_sony_android_tv,96dd14cc-4c4b-474f-8fb7-aeb87b5a04f4,109,706643,12004051,1,18248529
5,day_peak_video_type_live,fd3405ad-a628-4edd-b7e4-5d1e6f58f3f7,109,706223,11994547,1,17705892
5,day_peak_iphone_india,30c89048-2ed5-4b0a-b7e6-c3ba36d38def,118,707483,12723571,1,24347309
5,day_peak_vod_mweb,a467f609-12ae-45e6-a0f2-481d0c937ae3,95,706597,12678616,1,36716413
