advertiser_id,vertical,campaign_type
adv_0000,entertainment,CPM
adv_0001,auto,CPM
adv_0002,ecommerce,CPM
adv_0003,finance,CPC
adv_0004,cpg,CPI
adv_0005,auto,CPM
adv_0006,finance,CPM
adv_0007,ecommerce,CPM
adv_0008,finance,CPI
adv_0009,travel,CPM
adv_0010,travel,CPI
adv_0011,ecommerce,CPI
adv_0012,gaming,CPM
adv_0013,travel,CPI
adv_0014,auto,CPC
adv_0015,ecommerce,CPC
adv_0016,finance,CPM
adv_0017,ecommerce,CPI
adv_0018,ecommerce,CPC
adv_0019,entertainment,CPC
adv_0020,finance,CPI
adv_0021,ecommerce,CPM
adv_0022,cpg,CPI
adv_0023,ecommerce,CPI
adv_0024,ecommerce,CPM
adv_0025,cpg,CPM
adv_0026,travel,CPM
adv_0027,gaming,CPI
adv_0028,finance,CPM
adv_0029,travel,CPC
adv_0030,ecommerce,CPM
adv_0031,travel,CPM
adv_0032,entertainment,CPC
adv_0033,ecommerce,CPM
adv_0034,auto,CPI
adv_0035,travel,CPM
adv_0036,cpg,CPI
adv_0037,gaming,CPM
adv_0038,finance,CPI
adv_0039,auto,CPC
adv_0040,cpg,CPM
adv_0041,ecommerce,CPM
adv_0042,cpg,CPM
adv_0043,ecommerce,CPC
adv_0044,finance,CPI
adv_0045,finance,CPM
adv_0046,finance,CPM
adv_0047,cpg,CPC
adv_0048,auto,CPC
adv_0049,auto,CPC
adv_0050,ecommerce,CPM
adv_0051,cpg,CPC
adv_0052,travel,CPI
adv_0053,entertainment,CPM
adv_0054,entertainment,CPM
adv_0055,entertainment,CPM
adv_0056,entertainment,CPC
adv_0057,travel,CPM
adv_0058,entertainment,CPI
adv_0059,cpg,CPC
adv_0060,finance,CPC
adv_0061,travel,CPC
adv_0062,ecommerce,CPM
adv_0063,finance,CPI
adv_0064,auto,CPM
adv_0065,entertainment,CPC
adv_0066,ecommerce,CPI
adv_0067,travel,CPC
adv_0068,auto,CPI
adv_0069,gaming,CPM
adv_0070,gaming,CPI
adv_0071,finance,CPC
adv_0072,entertainment,CPC
adv_0073,finance,CPM
adv_0074,auto,CPM
adv_0075,auto,CPC
adv_0076,travel,CPM
adv_0077,finance,CPC
adv_0078,gaming,CPI
adv_0079,auto,CPI
adv_0080,cpg,CPM
adv_0081,travel,CPI
adv_0082,travel,CPM
adv_0083,auto,CPM
adv_0084,entertainment,CPI
adv_0085,gaming,CPM
adv_0086,entertainment,CPM
adv_0087,cpg,CPM
adv_0088,auto,CPC
adv_0089,travel,CPI
adv_0090,travel,CPM
adv_0091,ecommerce,CPM
adv_0092,entertainment,CPC
adv_0093,ecommerce,CPM
adv_0094,finance,CPC
adv_0095,ecommerce,CPI
adv_0096,finance,CPC
adv_0097,finance,CPI
adv_0098,gaming,CPC
adv_0099,auto,CPI
adv_0100,travel,CPM
adv_0101,cpg,CPM
adv_0102,ecommerce,CPC
adv_0103,entertainment,CPM
adv_0104,ecommerce,CPI
adv_0105,travel,CPC
adv_0106,travel,CPI
adv_0107,travel,CPM
adv_0108,entertainment,CPM
adv_0109,auto,CPC
adv_0110,finance,CPM
adv_0111,auto,CPC
adv_0112,ecommerce,CPC
adv_0113,finance,CPI
adv_0114,finance,CPC
adv_0115,cpg,CPM
adv_0116,gaming,CPM
adv_0117,finance,CPC
adv_0118,finance,CPM
adv_0119,auto,CPM
adv_0120,travel,CPM
adv_0121,cpg,CPM
adv_0122,auto,CPC
adv_0123,entertainment,CPM
adv_0124,auto,CPC
adv_0125,ecommerce,CPM
adv_0126,travel,CPC
adv_0127,entertainment,CPM
adv_0128,ecommerce,CPI
adv_0129,gaming,CPM
adv_0130,gaming,CPC
adv_0131,auto,CPM
adv_0132,entertainment,CPM
adv_0133,ecommerce,CPM
adv_0134,auto,CPI
adv_0135,entertainment,CPI
adv_0136,auto,CPM
adv_0137,cpg,CPM
adv_0138,cpg,CPC
adv_0139,ecommerce,CPC
adv_0140,auto,CPM
adv_0141,finance,CPC
adv_0142,finance,CPC
adv_0143,entertainment,CPC
adv_0144,entertainment,CPM
adv_0145,finance,CPM
adv_0146,cpg,CPM
adv_0147,ecommerce,CPC
adv_0148,gaming,CPM
adv_0149,gaming,CPC
adv_0150,auto,CPC
adv_0151,finance,CPC
adv_0152,travel,CPM
adv_0153,entertainment,CPM
adv_0154,travel,CPM
adv_0155,entertainment,CPC
adv_0156,gaming,CPI
adv_0157,ecommerce,CPM
adv_0158,cpg,CPI
adv_0159,travel,CPM
adv_0160,ecommerce,CPM
adv_0161,finance,CPM
adv_0162,finance,CPC
adv_0163,ecommerce,CPM
adv_0164,finance,CPM
adv_0165,auto,CPC
adv_0166,gaming,CPC
adv_0167,finance,CPM
adv_0168,travel,CPM
adv_0169,travel,CPC
adv_0170,cpg,CPM
adv_0171,cpg,CPM
adv_0172,finance,CPC
adv_0173,travel,CPM
adv_0174,gaming,CPC
adv_0175,entertainment,CPM
adv_0176,ecommerce,CPM
adv_0177,gaming,CPM
adv_0178,entertainment,CPM
adv_0179,ecommerce,CPM
adv_0180,travel,CPM
adv_0181,gaming,CPI
adv_0182,auto,CPI
adv_0183,auto,CPM
adv_0184,entertainment,CPC
adv_0185,auto,CPC
adv_0186,travel,CPI
adv_0187,ecommerce,CPM
adv_0188,ecommerce,CPM
adv_0189,ecommerce,CPM
adv_0190,ecommerce,CPM
adv_0191,finance,CPM
adv_0192,ecommerce,CPI
adv_0193,entertainment,CPI
adv_0194,ecommerce,CPM
adv_0195,entertainment,CPM
adv_0196,finance,CPM
adv_0197,entertainment,CPM
adv_0198,travel,CPC
adv_0199,cpg,CPM
adv_0200,travel,CPI
adv_0201,finance,CPI
adv_0202,entertainment,CPC
adv_0203,entertainment,CPC
adv_0204,travel,CPC
adv_0205,travel,CPM
adv_0206,travel,CPM
adv_0207,finance,CPC
adv_0208,finance,CPM
adv_0209,cpg,CPI
adv_0210,entertainment,CPM
adv_0211,gaming,CPM
adv_0212,cpg,CPM
adv_0213,entertainment,CPI
adv_0214,gaming,CPM
adv_0215,auto,CPM
adv_0216,entertainment,CPM
adv_0217,cpg,CPC
adv_0218,travel,CPI
adv_0219,travel,CPM
adv_0220,finance,CPI
adv_0221,finance,CPM
adv_0222,entertainment,CPC
adv_0223,auto,CPM
adv_0224,cpg,CPM
adv_0225,auto,CPC
adv_0226,entertainment,CPC
adv_0227,travel,CPM
adv_0228,finance,CPI
adv_0229,auto,CPI
adv_0230,finance,CPM
adv_0231,ecommerce,CPC
adv_0232,cpg,CPC
adv_0233,entertainment,CPM
adv_0234,finance,CPI
adv_0235,cpg,CPM
adv_0236,cpg,CPC
adv_0237,finance,CPM
adv_0238,travel,CPM
adv_0239,travel,CPC
adv_0240,entertainment,CPC
adv_0241,cpg,CPI
adv_0242,travel,CPI
adv_0243,auto,CPM
adv_0244,entertainment,CPM
adv_0245,cpg,CPM
adv_0246,finance,CPM
adv_0247,finance,CPM
adv_0248,finance,CPI
adv_0249,cpg,CPC
adv_0250,entertainment,CPM
adv_0251,ecommerce,CPM
adv_0252,gaming,CPC
adv_0253,travel,CPM
adv_0254,auto,CPM
adv_0255,travel,CPM
adv_0256,travel,CPM
adv_0257,auto,CPM
adv_0258,travel,CPC
adv_0259,cpg,CPM
adv_0260,entertainment,CPC
adv_0261,auto,CPC
adv_0262,auto,CPI
adv_0263,entertainment,CPM
adv_0264,gaming,CPM
adv_0265,finance,CPM
adv_0266,gaming,CPM
adv_0267,travel,CPM
adv_0268,ecommerce,CPC
adv_0269,travel,CPM
adv_0270,finance,CPM
adv_0271,gaming,CPM
adv_0272,gaming,CPC
adv_0273,travel,CPI
adv_0274,gaming,CPC
adv_0275,auto,CPC
adv_0276,auto,CPC
adv_0277,entertainment,CPC
adv_0278,ecommerce,CPM
adv_0279,auto,CPC
adv_0280,entertainment,CPC
adv_0281,finance,CPM
adv_0282,gaming,CPC
adv_0283,travel,CPM
adv_0284,auto,CPC
adv_0285,gaming,CPM
adv_0286,gaming,CPC
adv_0287,finance,CPI
adv_0288,travel,CPM
adv_0289,travel,CPM
adv_0290,finance,CPM
adv_0291,ecommerce,CPM
adv_0292,gaming,CPI
adv_0293,gaming,CPM
adv_0294,gaming,CPM
adv_0295,entertainment,CPM
adv_0296,auto,CPI
adv_0297,travel,CPM
adv_0298,gaming,CPC
adv_0299,finance,CPM
adv_0300,cpg,CPM
adv_0301,ecommerce,CPC
adv_0302,travel,CPM
adv_0303,travel,CPC
adv_0304,finance,CPM
adv_0305,travel,CPC
adv_0306,travel,CPC
adv_0307,travel,CPC
adv_0308,auto,CPM
adv_0309,entertainment,CPC
adv_0310,gaming,CPI
adv_0311,gaming,CPM
adv_0312,finance,CPM
adv_0313,cpg,CPI
adv_0314,gaming,CPM
adv_0315,gaming,CPC
adv_0316,entertainment,CPC
adv_0317,travel,CPM
adv_0318,ecommerce,CPC
adv_0319,ecommerce,CPC
adv_0320,entertainment,CPM
adv_0321,travel,CPI
adv_0322,entertainment,CPM
adv_0323,ecommerce,CPM
adv_0324,travel,CPI
adv_0325,cpg,CPM
adv_0326,finance,CPI
adv_0327,finance,CPM
adv_0328,ecommerce,CPM
adv_0329,entertainment,CPM
adv_0330,gaming,CPC
adv_0331,ecommerce,CPC
adv_0332,entertainment,CPI
adv_0333,gaming,CPI
adv_0334,cpg,CPC
adv_0335,finance,CPC
adv_0336,finance,CPC
adv_0337,travel,CPI
adv_0338,entertainment,CPC
adv_0339,travel,CPI
adv_0340,cpg,CPM
adv_0341,cpg,CPM
adv_0342,ecommerce,CPC
adv_0343,entertainment,CPM
adv_0344,finance,CPM
adv_0345,cpg,CPI
adv_0346,ecommerce,CPM
adv_0347,finance,CPM
adv_0348,entertainment,CPM
adv_0349,auto,CPM
adv_0350,gaming,CPC
adv_0351,travel,CPI
adv_0352,finance,CPI
adv_0353,entertainment,CPC
adv_0354,travel,CPC
adv_0355,cpg,CPM
adv_0356,cpg,CPI
adv_0357,entertainment,CPM
adv_0358,entertainment,CPM
adv_0359,cpg,CPI
adv_0360,ecommerce,CPI
adv_0361,auto,CPM
adv_0362,auto,CPC
adv_0363,gaming,CPM
adv_0364,cpg,CPM
adv_0365,entertainment,CPM
adv_0366,finance,CPM
adv_0367,travel,CPC
adv_0368,travel,CPM
adv_0369,cpg,CPC
adv_0370,cpg,CPM
adv_0371,auto,CPI
adv_0372,entertainment,CPC
adv_0373,gaming,CPI
adv_0374,cpg,CPM
adv_0375,gaming,CPC
adv_0376,ecommerce,CPI
adv_0377,gaming,CPM
adv_0378,cpg,CPM
adv_0379,travel,CPM
adv_0380,ecommerce,CPM
adv_0381,gaming,CPM
adv_0382,finance,CPM
adv_0383,auto,CPM
adv_0384,cpg,CPC
adv_0385,travel,CPM
adv_0386,entertainment,CPM
adv_0387,auto,CPC
adv_0388,cpg,CPM
adv_0389,ecommerce,CPM
adv_0390,cpg,CPM
adv_0391,travel,CPM
adv_0392,cpg,CPM
adv_0393,gaming,CPM
adv_0394,gaming,CPM
adv_0395,cpg,CPI
adv_0396,entertainment,CPI
adv_0397,ecommerce,CPM
adv_0398,cpg,CPM
adv_0399,gaming,CPM
adv_0400,entertainment,CPI
adv_0401,ecommerce,CPI
adv_0402,gaming,CPM
adv_0403,auto,CPM
adv_0404,auto,CPM
adv_0405,gaming,CPI
adv_0406,gaming,CPI
adv_0407,entertainment,CPM
adv_0408,gaming,CPC
adv_0409,auto,CPM
adv_0410,cpg,CPC
adv_0411,auto,CPI
adv_0412,ecommerce,CPM
adv_0413,ecommerce,CPM
adv_0414,entertainment,CPC
adv_0415,gaming,CPM
adv_0416,travel,CPI
adv_0417,travel,CPM
adv_0418,auto,CPI
adv_0419,ecommerce,CPM
adv_0420,auto,CPM
adv_0421,entertainment,CPM
adv_0422,ecommerce,CPM
adv_0423,finance,CPM
adv_0424,gaming,CPC
adv_0425,travel,CPM
adv_0426,ecommerce,CPM
adv_0427,gaming,CPM
adv_0428,travel,CPM
adv_0429,travel,CPI
adv_0430,gaming,CPI
adv_0431,ecommerce,CPM
adv_0432,gaming,CPC
adv_0433,entertainment,CPC
adv_0434,finance,CPI
adv_0435,gaming,CPM
adv_0436,ecommerce,CPM
adv_0437,cpg,CPM
adv_0438,ecommerce,CPI
adv_0439,entertainment,CPC
adv_0440,travel,CPM
adv_0441,ecommerce,CPM
adv_0442,finance,CPC
adv_0443,gaming,CPI
adv_0444,auto,CPM
adv_0445,finance,CPC
adv_0446,travel,CPM
adv_0447,ecommerce,CPM
adv_0448,auto,CPC
adv_0449,ecommerce,CPC
adv_0450,travel,CPI
adv_0451,cpg,CPM
adv_0452,entertainment,CPM
adv_0453,entertainment,CPM
adv_0454,cpg,CPM
adv_0455,ecommerce,CPM
adv_0456,cpg,CPM
adv_0457,travel,CPM
adv_0458,finance,CPM
adv_0459,ecommerce,CPM
adv_0460,auto,CPC
adv_0461,cpg,CPM
adv_0462,entertainment,CPC
adv_0463,gaming,CPI
adv_0464,travel,CPC
adv_0465,auto,CPM
adv_0466,finance,CPM
adv_0467,auto,CPC
adv_0468,entertainment,CPC
adv_0469,gaming,CPM
adv_0470,travel,CPM
adv_0471,ecommerce,CPC
adv_0472,travel,CPM
adv_0473,finance,CPC
adv_0474,auto,CPM
adv_0475,cpg,CPM
adv_0476,travel,CPI
adv_0477,travel,CPM
adv_0478,entertainment,CPC
adv_0479,entertainment,CPM
adv_0480,entertainment,CPM
adv_0481,auto,CPI
adv_0482,cpg,CPM
adv_0483,auto,CPM
adv_0484,gaming,CPI
adv_0485,travel,CPC
adv_0486,travel,CPC
adv_0487,travel,CPM
adv_0488,travel,CPM
adv_0489,auto,CPC
adv_0490,finance,CPM
adv_0491,ecommerce,CPM
adv_0492,travel,CPC
adv_0493,auto,CPM
adv_0494,finance,CPM
adv_0495,gaming,CPM
adv_0496,cpg,CPM
adv_0497,ecommerce,CPC
adv_0498,entertainment,CPI
adv_0499,auto,CPM
