app_id,category,publisher_tier
app_00000,ecommerce,tier_3
app_00001,entertainment,tier_2
app_00002,utility,tier_3
app_00003,ecommerce,tier_2
app_00004,gaming,tier_1
app_00005,finance,tier_3
app_00006,ecommerce,tier_2
app_00007,ecommerce,tier_1
app_00008,gaming,tier_1
app_00009,entertainment,tier_2
app_00010,social,tier_1
app_00011,finance,tier_2
app_00012,news,tier_1
app_00013,utility,tier_2
app_00014,entertainment,tier_2
app_00015,gaming,tier_2
app_00016,entertainment,tier_2
app_00017,gaming,tier_1
app_00018,utility,tier_2
app_00019,news,tier_2
app_00020,ecommerce,tier_2
app_00021,social,tier_1
app_00022,finance,tier_1
app_00023,utility,tier_2
app_00024,ecommerce,tier_2
app_00025,gaming,tier_2
app_00026,entertainment,tier_3
app_00027,gaming,tier_2
app_00028,gaming,tier_2
app_00029,ecommerce,tier_2
app_00030,ecommerce,tier_1
app_00031,finance,tier_2
app_00032,social,tier_2
app_00033,social,tier_2
app_00034,entertainment,tier_1
app_00035,gaming,tier_3
app_00036,gaming,tier_3
app_00037,entertainment,tier_1
app_00038,gaming,tier_2
app_00039,news,tier_3
app_00040,entertainment,tier_2
app_00041,utility,tier_3
app_00042,ecommerce,tier_2
app_00043,social,tier_3
app_00044,utility,tier_3
app_00045,utility,tier_1
app_00046,social,tier_2
app_00047,social,tier_2
app_00048,ecommerce,tier_1
app_00049,gaming,tier_2
app_00050,gaming,tier_3
app_00051,gaming,tier_1
app_00052,ecommerce,tier_2
app_00053,news,tier_3
app_00054,ecommerce,tier_2
app_00055,ecommerce,tier_2
app_00056,entertainment,tier_3
app_00057,news,tier_2
app_00058,gaming,tier_1
app_00059,gaming,tier_1
app_00060,news,tier_3
app_00061,entertainment,tier_2
app_00062,news,tier_2
app_00063,ecommerce,tier_1
app_00064,news,tier_2
app_00065,entertainment,tier_3
app_00066,entertainment,tier_2
app_00067,social,tier_3
app_00068,gaming,tier_2
app_00069,entertainment,tier_2
app_00070,gaming,tier_3
app_00071,entertainment,tier_2
app_00072,utility,tier_2
app_00073,gaming,tier_3
app_00074,gaming,tier_2
app_00075,social,tier_2
app_00076,social,tier_3
app_00077,news,tier_1
app_00078,entertainment,tier_2
app_00079,ecommerce,tier_1
app_00080,news,tier_2
app_00081,entertainment,tier_2
app_00082,utility,tier_2
app_00083,gaming,tier_1
app_00084,gaming,tier_2
app_00085,gaming,tier_2
app_00086,ecommerce,tier_2
app_00087,entertainment,tier_2
app_00088,gaming,tier_3
app_00089,entertainment,tier_2
app_00090,gaming,tier_2
app_00091,ecommerce,tier_3
app_00092,entertainment,tier_2
app_00093,social,tier_2
app_00094,social,tier_3
app_00095,news,tier_2
app_00096,social,tier_1
app_00097,gaming,tier_2
app_00098,gaming,tier_1
app_00099,finance,tier_2
app_00100,utility,tier_3
app_00101,ecommerce,tier_1
app_00102,social,tier_3
app_00103,finance,tier_3
app_00104,ecommerce,tier_2
app_00105,ecommerce,tier_3
app_00106,entertainment,tier_3
app_00107,social,tier_3
app_00108,gaming,tier_2
app_00109,utility,tier_1
app_00110,entertainment,tier_2
app_00111,gaming,tier_2
app_00112,social,tier_1
app_00113,news,tier_2
app_00114,gaming,tier_1
app_00115,utility,tier_3
app_00116,ecommerce,tier_2
app_00117,ecommerce,tier_1
app_00118,entertainment,tier_1
app_00119,news,tier_2
app_00120,news,tier_2
app_00121,news,tier_1
app_00122,gaming,tier_2
app_00123,entertainment,tier_1
app_00124,gaming,tier_2
app_00125,entertainment,tier_2
app_00126,social,tier_2
app_00127,gaming,tier_2
app_00128,gaming,tier_1
app_00129,news,tier_1
app_00130,gaming,tier_2
app_00131,finance,tier_3
app_00132,news,tier_3
app_00133,social,tier_3
app_00134,news,tier_2
app_00135,gaming,tier_2
app_00136,finance,tier_2
app_00137,entertainment,tier_3
app_00138,ecommerce,tier_3
app_00139,gaming,tier_3
app_00140,entertainment,tier_3
app_00141,entertainment,tier_2
app_00142,finance,tier_3
app_00143,news,tier_3
app_00144,entertainment,tier_2
app_00145,social,tier_3
app_00146,social,tier_1
app_00147,entertainment,tier_3
app_00148,entertainment,tier_3
app_00149,gaming,tier_1
app_00150,utility,tier_2
app_00151,utility,tier_1
app_00152,gaming,tier_3
app_00153,entertainment,tier_3
app_00154,gaming,tier_2
app_00155,news,tier_3
app_00156,social,tier_1
app_00157,news,tier_2
app_00158,ecommerce,tier_2
app_00159,ecommerce,tier_1
app_00160,gaming,tier_2
app_00161,utility,tier_2
app_00162,gaming,tier_2
app_00163,gaming,tier_2
app_00164,entertainment,tier_3
app_00165,social,tier_2
app_00166,utility,tier_3
app_00167,utility,tier_2
app_00168,social,tier_2
app_00169,finance,tier_2
app_00170,social,tier_2
app_00171,entertainment,tier_2
app_00172,social,tier_2
app_00173,finance,tier_1
app_00174,gaming,tier_2
app_00175,gaming,tier_2
app_00176,entertainment,tier_2
app_00177,finance,tier_3
app_00178,utility,tier_2
app_00179,ecommerce,tier_3
app_00180,utility,tier_3
app_00181,utility,tier_3
app_00182,entertainment,tier_3
app_00183,social,tier_1
app_00184,ecommerce,tier_2
app_00185,news,tier_1
app_00186,social,tier_3
app_00187,gaming,tier_2
app_00188,ecommerce,tier_2
app_00189,social,tier_3
app_00190,finance,tier_1
app_00191,social,tier_2
app_00192,gaming,tier_3
app_00193,utility,tier_1
app_00194,gaming,tier_2
app_00195,gaming,tier_3
app_00196,news,tier_1
app_00197,utility,tier_2
app_00198,gaming,tier_2
app_00199,social,tier_2
app_00200,ecommerce,tier_1
app_00201,finance,tier_3
app_00202,entertainment,tier_3
app_00203,gaming,tier_1
app_00204,gaming,tier_2
app_00205,gaming,tier_2
app_00206,gaming,tier_3
app_00207,news,tier_2
app_00208,gaming,tier_1
app_00209,entertainment,tier_1
app_00210,ecommerce,tier_3
app_00211,news,tier_2
app_00212,gaming,tier_3
app_00213,utility,tier_2
app_00214,ecommerce,tier_3
app_00215,ecommerce,tier_1
app_00216,gaming,tier_1
app_00217,gaming,tier_3
app_00218,finance,tier_3
app_00219,social,tier_2
app_00220,social,tier_2
