geo_device_id,region,country,device_model,os_version
gd_00000,NAM,US,Galaxy A54,Android 12
gd_00001,APAC,PH,iPhone 13,iOS 16.4
gd_00002,EU,ES,Pixel 7,Android 14
gd_00003,EU,ES,iPhone 13,iOS 17.2
gd_00004,MEA,AE,Galaxy A54,Android 14
gd_00005,APAC,ID,Pixel 8,Android 14
gd_00006,EU,ES,Galaxy A54,Android 15
gd_00007,MEA,ZA,iPhone 15,iOS 16.4
gd_00008,NAM,CA,iPhone 14,iOS 17.2
gd_00009,MEA,AE,iPhone 15,iOS 16.4
gd_00010,APAC,JP,iPhone 14,iOS 18.1
gd_00011,APAC,ID,Redmi Note 12,Android 15
gd_00012,MEA,NG,Pixel 7,Android 14
gd_00013,APAC,JP,Pixel 8,Android 13
gd_00014,EU,UK,Redmi Note 12,Android 14
gd_00015,NAM,CA,iPhone 15,iOS 16.4
gd_00016,APAC,PH,Galaxy S23,Android 14
gd_00017,APAC,IN,iPhone 13,iOS 17.5
gd_00018,NAM,CA,Pixel 7,Android 13
gd_00019,APAC,IN,Galaxy S23,Android 14
gd_00020,APAC,JP,Redmi Note 12,Android 13
gd_00021,EU,ES,iPhone 14,iOS 18.1
gd_00022,NAM,US,Redmi Note 12,Android 12
gd_00023,EU,UK,iPhone 14,iOS 18.1
gd_00024,NAM,US,Pixel 7,Android 13
gd_00025,NAM,CA,iPhone 14,iOS 18.1
gd_00026,EU,ES,iPhone 14,iOS 18.1
gd_00027,NAM,US,iPhone 13,iOS 17.2
gd_00028,EU,ES,iPhone 15,iOS 18.1
gd_00029,APAC,ID,Pixel 8,Android 13
gd_00030,EU,UK,Redmi Note 12,Android 14
gd_00031,MEA,AE,iPhone 15,iOS 16.4
gd_00032,MEA,NG,iPhone 15,iOS 17.2
gd_00033,APAC,ID,Pixel 7,Android 12
gd_00034,MEA,NG,Redmi Note 12,Android 13
gd_00035,LATAM,MX,iPhone 14,iOS 17.2
gd_00036,EU,DE,iPhone 15,iOS 17.5
gd_00037,APAC,JP,iPhone 13,iOS 16.4
gd_00038,NAM,US,iPhone 15,iOS 16.4
gd_00039,APAC,IN,iPhone 13,iOS 17.2
gd_00040,EU,ES,Galaxy A54,Android 13
gd_00041,NAM,US,Pixel 8,Android 14
gd_00042,EU,FR,iPhone 15,iOS 18.1
gd_00043,MEA,NG,iPhone 15,iOS 17.2
gd_00044,EU,UK,Galaxy S23,Android 15
gd_00045,NAM,CA,iPhone 14,iOS 17.5
gd_00046,NAM,US,iPhone 13,iOS 17.2
gd_00047,EU,FR,iPhone 13,iOS 17.2
gd_00048,LATAM,MX,iPhone 15,iOS 17.5
gd_00049,APAC,PH,Redmi Note 12,Android 13
gd_00050,EU,UK,iPhone 15,iOS 18.1
gd_00051,NAM,US,iPhone 13,iOS 18.1
gd_00052,NAM,US,iPhone 13,iOS 17.5
gd_00053,EU,UK,Galaxy A54,Android 15
gd_00054,LATAM,BR,Pixel 8,Android 13
gd_00055,APAC,JP,Pixel 8,Android 13
gd_00056,EU,ES,iPhone 13,iOS 18.1
gd_00057,APAC,JP,Redmi Note 12,Android 12
gd_00058,EU,DE,Redmi Note 12,Android 15
gd_00059,APAC,PH,Pixel 7,Android 13
gd_00060,APAC,ID,Redmi Note 12,Android 14
gd_00061,APAC,IN,iPhone 14,iOS 16.4
gd_00062,APAC,PH,Redmi Note 12,Android 14
gd_00063,MEA,AE,Galaxy A54,Android 15
gd_00064,EU,DE,Galaxy A54,Android 13
gd_00065,NAM,CA,Galaxy S23,Android 15
gd_00066,NAM,CA,Galaxy A54,Android 12
gd_00067,APAC,IN,iPhone 15,iOS 17.5
gd_00068,APAC,IN,Galaxy S23,Android 12
gd_00069,APAC,JP,Pixel 7,Android 13
gd_00070,APAC,IN,iPhone 13,iOS 17.2
gd_00071,EU,FR,iPhone 14,iOS 17.2
gd_00072,APAC,ID,iPhone 14,iOS 17.5
gd_00073,APAC,IN,Redmi Note 12,Android 12
gd_00074,EU,FR,iPhone 13,iOS 17.2
gd_00075,EU,DE,Redmi Note 12,Android 14
gd_00076,NAM,US,iPhone 13,iOS 16.4
gd_00077,EU,UK,Galaxy S23,Android 15
gd_00078,LATAM,AR,Galaxy S23,Android 13
gd_00079,LATAM,AR,iPhone 14,iOS 17.5
gd_00080,APAC,JP,iPhone 13,iOS 17.5
gd_00081,EU,UK,Galaxy A54,Android 13
gd_00082,APAC,PH,iPhone 13,iOS 16.4
gd_00083,APAC,IN,Galaxy A54,Android 13
gd_00084,EU,DE,Galaxy S23,Android 12
gd_00085,LATAM,BR,iPhone 15,iOS 17.2
gd_00086,NAM,CA,Redmi Note 12,Android 15
gd_00087,NAM,US,Redmi Note 12,Android 13
gd_00088,NAM,CA,iPhone 14,iOS 17.2
gd_00089,NAM,US,Galaxy S23,Android 13
gd_00090,LATAM,BR,iPhone 14,iOS 18.1
gd_00091,EU,FR,Galaxy A54,Android 14
gd_00092,EU,ES,iPhone 15,iOS 18.1
gd_00093,EU,UK,Galaxy S23,Android 15
gd_00094,EU,UK,Galaxy S23,Android 15
gd_00095,EU,DE,iPhone 13,iOS 16.4
gd_00096,NAM,CA,iPhone 13,iOS 18.1
gd_00097,APAC,IN,iPhone 15,iOS 17.2
gd_00098,NAM,US,iPhone 15,iOS 18.1
gd_00099,LATAM,MX,iPhone 14,iOS 17.2
gd_00100,NAM,US,Pixel 8,Android 12
gd_00101,APAC,IN,iPhone 13,iOS 17.2
gd_00102,LATAM,MX,Pixel 7,Android 12
gd_00103,NAM,CA,iPhone 15,iOS 18.1
gd_00104,NAM,US,Galaxy A54,Android 15
gd_00105,MEA,NG,Pixel 8,Android 15
gd_00106,EU,UK,Pixel 7,Android 12
gd_00107,APAC,JP,iPhone 13,iOS 18.1
gd_00108,NAM,US,Galaxy A54,Android 13
gd_00109,EU,UK,Galaxy A54,Android 13
gd_00110,APAC,IN,iPhone 13,iOS 17.2
gd_00111,LATAM,AR,iPhone 15,iOS 18.1
gd_00112,NAM,CA,Redmi Note 12,Android 15
gd_00113,LATAM,AR,iPhone 14,iOS 17.5
gd_00114,APAC,IN,iPhone 13,iOS 16.4
gd_00115,NAM,US,Pixel 7,Android 14
gd_00116,EU,UK,Galaxy A54,Android 15
gd_00117,NAM,US,Galaxy S23,Android 13
gd_00118,EU,DE,Pixel 8,Android 13
gd_00119,APAC,PH,iPhone 13,iOS 17.5
gd_00120,EU,ES,iPhone 15,iOS 17.5
gd_00121,NAM,US,Redmi Note 12,Android 15
gd_00122,APAC,ID,Galaxy S23,Android 14
gd_00123,APAC,ID,iPhone 13,iOS 18.1
gd_00124,APAC,JP,iPhone 14,iOS 17.5
gd_00125,APAC,JP,iPhone 15,iOS 17.2
gd_00126,NAM,CA,iPhone 14,iOS 16.4
gd_00127,APAC,IN,iPhone 13,iOS 18.1
gd_00128,EU,DE,Pixel 7,Android 12
gd_00129,EU,ES,Pixel 7,Android 13
gd_00130,NAM,US,Galaxy S23,Android 14
gd_00131,APAC,IN,iPhone 14,iOS 17.5
gd_00132,APAC,IN,iPhone 14,iOS 17.2
gd_00133,EU,UK,Galaxy A54,Android 14
gd_00134,LATAM,AR,Pixel 7,Android 14
gd_00135,LATAM,BR,Redmi Note 12,Android 12
gd_00136,NAM,CA,iPhone 13,iOS 16.4
gd_00137,APAC,ID,iPhone 14,iOS 18.1
gd_00138,EU,UK,Pixel 8,Android 12
gd_00139,MEA,NG,Pixel 8,Android 14
gd_00140,NAM,CA,Redmi Note 12,Android 12
gd_00141,EU,ES,iPhone 13,iOS 18.1
gd_00142,EU,ES,iPhone 14,iOS 18.1
gd_00143,NAM,CA,iPhone 14,iOS 18.1
gd_00144,APAC,JP,iPhone 14,iOS 16.4
gd_00145,EU,FR,iPhone 14,iOS 16.4
gd_00146,NAM,CA,Pixel 8,Android 14
gd_00147,APAC,ID,iPhone 15,iOS 17.5
