geo_device_id,region,country,device_model,os_version
gd_00000,APAC,ID,iPhone 14,iOS 17.5
gd_00001,APAC,PH,iPhone 13,iOS 16.4
gd_00002,LATAM,AR,iPhone 15,iOS 16.4
gd_00003,NAM,US,Pixel 7,Android 12
gd_00004,NAM,CA,Pixel 8,Android 13
gd_00005,EU,UK,iPhone 13,iOS 18.1
gd_00006,APAC,ID,Pixel 7,Android 15
gd_00007,NAM,CA,iPhone 13,iOS 16.4
gd_00008,MEA,AE,Pixel 7,Android 14
gd_00009,APAC,ID,Pixel 8,Android 15
gd_00010,EU,ES,Galaxy A54,Android 13
gd_00011,LATAM,MX,iPhone 14,iOS 17.2
gd_00012,APAC,IN,iPhone 15,iOS 17.2
gd_00013,NAM,US,iPhone 13,iOS 17.2
gd_00014,APAC,IN,Pixel 7,Android 14
gd_00015,NAM,CA,Pixel 8,Android 14
gd_00016,EU,ES,Pixel 7,Android 14
gd_00017,EU,DE,iPhone 14,iOS 18.1
gd_00018,EU,DE,Galaxy A54,Android 14
gd_00019,LATAM,BR,Pixel 7,Android 14
gd_00020,APAC,JP,iPhone 15,iOS 17.2
gd_00021,APAC,IN,Pixel 8,Android 14
gd_00022,MEA,NG,Pixel 7,Android 14
gd_00023,APAC,IN,iPhone 13,iOS 17.5
gd_00024,LATAM,MX,Redmi Note 12,Android 12
gd_00025,APAC,ID,Redmi Note 12,Android 12
gd_00026,APAC,IN,Pixel 8,Android 15
gd_00027,APAC,IN,iPhone 13,iOS 17.5
gd_00028,EU,DE,Pixel 8,Android 13
gd_00029,LATAM,MX,iPhone 15,iOS 17.2
gd_00030,MEA,NG,iPhone 14,iOS 17.5
gd_00031,EU,FR,Galaxy A54,Android 12
gd_00032,EU,ES,iPhone 13,iOS 17.2
gd_00033,NAM,CA,Redmi Note 12,Android 12
gd_00034,LATAM,BR,iPhone 14,iOS 18.1
gd_00035,NAM,CA,iPhone 14,iOS 16.4
gd_00036,MEA,ZA,Galaxy S23,Android 13
gd_00037,APAC,IN,iPhone 15,iOS 18.1
gd_00038,APAC,ID,Pixel 7,Android 12
gd_00039,EU,DE,iPhone 15,iOS 17.2
gd_00040,NAM,CA,Galaxy S23,Android 15
gd_00041,LATAM,MX,Galaxy S23,Android 15
gd_00042,EU,ES,Galaxy A54,Android 13
gd_00043,LATAM,MX,iPhone 14,iOS 16.4
gd_00044,NAM,CA,iPhone 15,iOS 17.5
gd_00045,NAM,CA,iPhone 14,iOS 17.5
gd_00046,NAM,US,Galaxy A54,Android 12
