epoch_minute	utc_minute	expected_concurrent
1786773600	2026-08-15 06:00	1
1786773660	2026-08-15 06:01	1
1786773720	2026-08-15 06:02	1
1786773780	2026-08-15 06:03	1
1786773840	2026-08-15 06:04	2
1786773900	2026-08-15 06:05	2
1786773960	2026-08-15 06:06	2
1786774020	2026-08-15 06:07	2
1786774080	2026-08-15 06:08	3
1786774140	2026-08-15 06:09	3
1786774200	2026-08-15 06:10	3
1786774260	2026-08-15 06:11	3
1786774320	2026-08-15 06:12	4
1786774380	2026-08-15 06:13	4
1786774440	2026-08-15 06:14	4
1786774500	2026-08-15 06:15	4
1786774560	2026-08-15 06:16	5
1786774620	2026-08-15 06:17	4
1786774680	2026-08-15 06:18	4
1786774740	2026-08-15 06:19	4
1786774800	2026-08-15 06:20	5
1786774860	2026-08-15 06:21	4
1786774920	2026-08-15 06:22	4
1786774980	2026-08-15 06:23	4
1786775040	2026-08-15 06:24	5
1786775100	2026-08-15 06:25	4
1786775160	2026-08-15 06:26	4
1786775220	2026-08-15 06:27	4
1786775280	2026-08-15 06:28	5
1786775340	2026-08-15 06:29	4
1786775400	2026-08-15 06:30	4
1786775460	2026-08-15 06:31	4
1786775520	2026-08-15 06:32	5
1786775580	2026-08-15 06:33	4
1786775640	2026-08-15 06:34	4
1786775700	2026-08-15 06:35	4
1786775760	2026-08-15 06:36	5
1786775820	2026-08-15 06:37	4
1786775880	2026-08-15 06:38	4
1786775940	2026-08-15 06:39	4
1786776000	2026-08-15 06:40	5
1786776060	2026-08-15 06:41	4
1786776120	2026-08-15 06:42	4
1786776180	2026-08-15 06:43	4
1786776240	2026-08-15 06:44	5
1786776300	2026-08-15 06:45	4
1786776360	2026-08-15 06:46	4
1786776420	2026-08-15 06:47	4
1786776480	2026-08-15 06:48	5
1786776540	2026-08-15 06:49	4
1786776600	2026-08-15 06:50	4
1786776660	2026-08-15 06:51	4
1786776720	2026-08-15 06:52	5
1786776780	2026-08-15 06:53	4
1786776840	2026-08-15 06:54	4
1786776900	2026-08-15 06:55	4
1786776960	2026-08-15 06:56	5
1786777020	2026-08-15 06:57	4
1786777080	2026-08-15 06:58	4
1786777140	2026-08-15 06:59	4
1786777200	2026-08-15 07:00	6
1786777260	2026-08-15 07:01	5
1786777320	2026-08-15 07:02	5
1786777380	2026-08-15 07:03	5
1786777440	2026-08-15 07:04	6
1786777500	2026-08-15 07:05	5
1786777560	2026-08-15 07:06	5
1786777620	2026-08-15 07:07	5
1786777680	2026-08-15 07:08	6
1786777740	2026-08-15 07:09	5
1786777800	2026-08-15 07:10	5
1786777860	2026-08-15 07:11	5
1786777920	2026-08-15 07:12	5
1786777980	2026-08-15 07:13	4
1786778040	2026-08-15 07:14	4
1786778100	2026-08-15 07:15	4
1786778160	2026-08-15 07:16	5
1786778220	2026-08-15 07:17	4
1786778280	2026-08-15 07:18	4
1786778340	2026-08-15 07:19	4
1786778400	2026-08-15 07:20	5
1786778460	2026-08-15 07:21	4
1786778520	2026-08-15 07:22	4
1786778580	2026-08-15 07:23	4
1786778640	2026-08-15 07:24	5
1786778700	2026-08-15 07:25	4
1786778760	2026-08-15 07:26	4
1786778820	2026-08-15 07:27	4
1786778880	2026-08-15 07:28	5
1786778940	2026-08-15 07:29	4
1786779000	2026-08-15 07:30	4
1786779060	2026-08-15 07:31	4
1786779120	2026-08-15 07:32	5
1786779180	2026-08-15 07:33	4
1786779240	2026-08-15 07:34	4
1786779300	2026-08-15 07:35	4
1786779360	2026-08-15 07:36	5
1786779420	2026-08-15 07:37	4
1786779480	2026-08-15 07:38	4
1786779540	2026-08-15 07:39	4
1786779600	2026-08-15 07:40	5
1786779660	2026-08-15 07:41	4
1786779720	2026-08-15 07:42	4
1786779780	2026-08-15 07:43	4
1786779840	2026-08-15 07:44	5
1786779900	2026-08-15 07:45	4
1786779960	2026-08-15 07:46	4
1786780020	2026-08-15 07:47	4
1786780080	2026-08-15 07:48	5
1786780140	2026-08-15 07:49	4
1786780200	2026-08-15 07:50	4
1786780260	2026-08-15 07:51	4
1786780320	2026-08-15 07:52	5
1786780380	2026-08-15 07:53	4
1786780440	2026-08-15 07:54	4
1786780500	2026-08-15 07:55	4
1786780560	2026-08-15 07:56	5
1786780620	2026-08-15 07:57	4
1786780680	2026-08-15 07:58	4
1786780740	2026-08-15 07:59	4
1786780800	2026-08-15 08:00	5
1786780860	2026-08-15 08:01	4
1786780920	2026-08-15 08:02	4
1786780980	2026-08-15 08:03	4
1786781040	2026-08-15 08:04	5
1786781100	2026-08-15 08:05	4
1786781160	2026-08-15 08:06	4
1786781220	2026-08-15 08:07	4
1786781280	2026-08-15 08:08	5
1786781340	2026-08-15 08:09	4
1786781400	2026-08-15 08:10	4
1786781460	2026-08-15 08:11	4
1786781520	2026-08-15 08:12	5
1786781580	2026-08-15 08:13	4
1786781640	2026-08-15 08:14	4
1786781700	2026-08-15 08:15	4
1786781760	2026-08-15 08:16	5
1786781820	2026-08-15 08:17	4
1786781880	2026-08-15 08:18	4
1786781940	2026-08-15 08:19	4
1786782000	2026-08-15 08:20	5
1786782060	2026-08-15 08:21	4
1786782120	2026-08-15 08:22	4
1786782180	2026-08-15 08:23	4
1786782240	2026-08-15 08:24	5
1786782300	2026-08-15 08:25	4
1786782360	2026-08-15 08:26	4
1786782420	2026-08-15 08:27	4
1786782480	2026-08-15 08:28	5
1786782540	2026-08-15 08:29	4
1786782600	2026-08-15 08:30	4
1786782660	2026-08-15 08:31	4
1786782720	2026-08-15 08:32	5
1786782780	2026-08-15 08:33	4
1786782840	2026-08-15 08:34	4
1786782900	2026-08-15 08:35	4
1786782960	2026-08-15 08:36	5
1786783020	2026-08-15 08:37	4
1786783080	2026-08-15 08:38	4
1786783140	2026-08-15 08:39	4
1786783200	2026-08-15 08:40	4
1786783260	2026-08-15 08:41	3
1786783320	2026-08-15 08:42	3
1786783380	2026-08-15 08:43	3
1786783440	2026-08-15 08:44	3
1786783500	2026-08-15 08:45	2
1786783560	2026-08-15 08:46	2
1786783620	2026-08-15 08:47	2
1786783680	2026-08-15 08:48	2
1786783740	2026-08-15 08:49	1
1786783800	2026-08-15 08:50	1
1786783860	2026-08-15 08:51	1
1786783920	2026-08-15 08:52	1
1786784400	2026-08-15 09:00	3
1786784460	2026-08-15 09:01	3
1786784520	2026-08-15 09:02	3
1786784580	2026-08-15 09:03	3
1786784640	2026-08-15 09:04	3
1786784700	2026-08-15 09:05	3
1786784760	2026-08-15 09:06	3
1786784820	2026-08-15 09:07	3
1786784880	2026-08-15 09:08	3
1786784940	2026-08-15 09:09	3
1786785000	2026-08-15 09:10	3
1786785060	2026-08-15 09:11	3
1786785120	2026-08-15 09:12	3
1786785180	2026-08-15 09:13	3
1786785240	2026-08-15 09:14	3
1786785300	2026-08-15 09:15	3
1786785360	2026-08-15 09:16	3
1786785420	2026-08-15 09:17	3
1786785600	2026-08-15 09:20	5
1786785660	2026-08-15 09:21	5
1786785720	2026-08-15 09:22	5
1786785780	2026-08-15 09:23	5
1786785840	2026-08-15 09:24	5
1786785900	2026-08-15 09:25	5
1786785960	2026-08-15 09:26	5
1786786020	2026-08-15 09:27	5
1786786080	2026-08-15 09:28	5
1786786140	2026-08-15 09:29	5
1786786200	2026-08-15 09:30	5
1786786260	2026-08-15 09:31	5
1786786320	2026-08-15 09:32	5
1786786380	2026-08-15 09:33	5
1786786440	2026-08-15 09:34	5
1786786500	2026-08-15 09:35	5
1786786560	2026-08-15 09:36	5
1786788000	2026-08-15 10:00	8
1786788060	2026-08-15 10:01	8
1786788120	2026-08-15 10:02	8
1786788180	2026-08-15 10:03	8
1786788240	2026-08-15 10:04	8
1786788300	2026-08-15 10:05	8
1786788360	2026-08-15 10:06	8
1786788420	2026-08-15 10:07	8
1786788480	2026-08-15 10:08	8
1786788540	2026-08-15 10:09	8
1786788600	2026-08-15 10:10	8
1786788660	2026-08-15 10:11	8
1786795200	2026-08-15 12:00	12
1786795260	2026-08-15 12:01	12
1786795320	2026-08-15 12:02	12
1786795380	2026-08-15 12:03	12
1786795440	2026-08-15 12:04	12
1786795500	2026-08-15 12:05	12
1786795560	2026-08-15 12:06	12
1786795620	2026-08-15 12:07	12
1786795680	2026-08-15 12:08	12
1786795740	2026-08-15 12:09	12
1786795800	2026-08-15 12:10	12
1786796400	2026-08-15 12:20	12
1786796460	2026-08-15 12:21	12
1786796520	2026-08-15 12:22	12
1786796580	2026-08-15 12:23	12
1786796640	2026-08-15 12:24	12
1786796700	2026-08-15 12:25	12
1786796760	2026-08-15 12:26	12
1786796820	2026-08-15 12:27	12
1786796880	2026-08-15 12:28	12
1786796940	2026-08-15 12:29	12
1786797000	2026-08-15 12:30	12
1786797060	2026-08-15 12:31	12
1786798800	2026-08-15 13:00	10
1786798860	2026-08-15 13:01	10
1786798920	2026-08-15 13:02	10
1786798980	2026-08-15 13:03	10
1786799040	2026-08-15 13:04	10
1786799100	2026-08-15 13:05	10
1786799160	2026-08-15 13:06	10
1786799700	2026-08-15 13:15	10
1786799760	2026-08-15 13:16	10
1786799820	2026-08-15 13:17	10
1786799880	2026-08-15 13:18	10
1786799940	2026-08-15 13:19	10
1786800000	2026-08-15 13:20	10
1786800060	2026-08-15 13:21	10
1786800120	2026-08-15 13:22	10
1786800180	2026-08-15 13:23	10
1786800240	2026-08-15 13:24	10
1786800300	2026-08-15 13:25	10
1786800360	2026-08-15 13:26	10
1786800420	2026-08-15 13:27	10
1786800480	2026-08-15 13:28	10
1786800540	2026-08-15 13:29	10
1786800600	2026-08-15 13:30	10
1786800660	2026-08-15 13:31	10
1786802400	2026-08-15 14:00	6
1786802460	2026-08-15 14:01	6
1786802520	2026-08-15 14:02	6
1786802580	2026-08-15 14:03	6
1786802640	2026-08-15 14:04	6
1786802700	2026-08-15 14:05	6
