# evidence: insight_bench_session_facts_app_version_health
# what: read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for session_facts_app_version_health
# run_utc: 2026-08-01 19:52:15
# git: f1b6d38-dirty
# host: ss-cric
# row_count: 2203368
# event_watermark: 2026-08-01 20:03:11.372
# frozen_before: 2026-08-01
# frozen_slice_rows: 905558   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-01 19:44:51   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
shape	cold_ms	warm_ms	read_rows	read_bytes	result_rows	memory_bytes	tables_read	raw_scan	key_condition
unfiltered	16	17	10866	1034717	65	21023063	phoenix_next.session_insight_facts	no	and((toDate(session_start) in (-Inf, 20666]), and((toDate(session_start) in (-Inf, 20661]), (toDate(session_start) in [20660, +Inf)))) ; granules 1/1
platform	15	14	10866	1045783	24	21611255	phoenix_next.session_insight_facts	no	and((toDate(session_start) in (-Inf, 20666]), and((toDate(session_start) in (-Inf, 20661]), and((toDate(session_start) in [20660, +Inf)), (platform in ['ANDROID_PHONE', 'ANDROID_PHONE'])))) ; granules 1/1
country	18	17	10866	1045604	65	22117963	phoenix_next.session_insight_facts	no	and((toDate(session_start) in (-Inf, 20666]), and((toDate(session_start) in (-Inf, 20661]), and((toDate(session_start) in [20660, +Inf)), (country in ['india', 'india'])))) ; granules 1/1
content	15	14	10866	1121645	42	16336444	phoenix_next.session_insight_facts	no	and((toDate(session_start) in (-Inf, 20666]), and((toDate(session_start) in (-Inf, 20661]), and((toDate(session_start) in [20660, +Inf)), (content_id in [2078157818, 2078157818])))) ; granules 1/1
app_version	14	13	10866	1034717	1	15544829	phoenix_next.session_insight_facts	no	and((toDate(session_start) in (-Inf, 20666]), and((toDate(session_start) in (-Inf, 20661]), (toDate(session_start) in [20660, +Inf)))) ; granules 1/1
platform+country	16	15	10866	1056670	24	22708499	phoenix_next.session_insight_facts	no	and((toDate(session_start) in (-Inf, 20666]), and((toDate(session_start) in (-Inf, 20661]), and((toDate(session_start) in [20660, +Inf)), and((country in ['india', 'india']), (platform in ['ANDROID_PHONE', 'ANDROID_PHONE']))))) ; granules 1/1
#	query	sql/insights/benchmark/session_facts_app_version_health.sql
#	window	2026-07-26 00:00:00 -> 2026-07-27 00:00:00
#	service	26.2.1.525
#	use_query_cache	0
gate.raw_events_in_plan	0	(required 0)	PASS
