# evidence: insight_bench_spike_explanation
# what: read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for spike_explanation
# run_utc: 2026-08-02 00:31:04
# git: 8cae0d7-dirty
# host: ss-cric
# row_count: 6809964
# event_watermark: 2026-08-02 07:17:58.866
# frozen_before: 2026-08-01
# frozen_slice_rows: 6809964   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-02 00:30:44   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
shape	cold_ms	warm_ms	read_rows	read_bytes	result_rows	memory_bytes	tables_read	raw_scan	key_condition
unfiltered	6	5	0	0	0	452094	phoenix_next.concurrency_spike_events	no	true ; granules 2/2
platform	7	5	0	0	0	452094	phoenix_next.concurrency_spike_events	no	true ; granules 2/2
country	5	8	0	0	0	452094	phoenix_next.concurrency_spike_events	no	true ; granules 2/2
content	6	7	0	0	0	451366	phoenix_next.concurrency_spike_events	no	(content_id in [2078157818, 2078157818]) ; granules 0/2
app_version	6	5	0	0	0	452894	phoenix_next.concurrency_spike_events	no	true ; granules 2/2
platform+country	5	5	0	0	0	452894	phoenix_next.concurrency_spike_events	no	true ; granules 2/2
#	query	sql/insights/benchmark/spike_explanation.sql
#	window	2026-07-26 00:00:00 -> 2026-07-27 00:00:00
#	service	26.2.1.525
#	use_query_cache	0
gate.raw_events_in_plan	0	(required 0)	PASS
