# evidence: insight_bench_state_flow
# what: read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for state_flow
# run_utc: 2026-08-02 00:30:33
# git: 8cae0d7-dirty
# host: ss-cric
# row_count: 6783132
# event_watermark: 2026-08-02 07:17:58.866
# frozen_before: 2026-08-01
# frozen_slice_rows: 6783132   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-02 00:30:13   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
shape	cold_ms	warm_ms	read_rows	read_bytes	result_rows	memory_bytes	tables_read	raw_scan	key_condition
unfiltered	119	116	576093	47840856	36	188710557	phoenix_next.session_state_transitions	no	and((transition_at in (-Inf, '4102444800')), and((transition_at in (-Inf, '1785110400')), (transition_at in ['1785024000', +Inf)))) ; granules 72/72
platform	86	89	576093	48432821	27	157585574	phoenix_next.session_state_transitions	no	and((transition_at in (-Inf, '4102444800')), and((transition_at in (-Inf, '1785110400')), (transition_at in ['1785024000', +Inf)))) ; granules 72/72
country	103	114	576093	48421380	36	200510156	phoenix_next.session_state_transitions	no	and((transition_at in (-Inf, '4102444800')), and((transition_at in (-Inf, '1785110400')), (transition_at in ['1785024000', +Inf)))) ; granules 72/72
content	60	52	576093	52452687	31	103960009	phoenix_next.session_state_transitions	no	and((transition_at in (-Inf, '4102444800')), and((transition_at in (-Inf, '1785110400')), (transition_at in ['1785024000', +Inf)))) ; granules 72/72
app_version	119	72	576093	48453180	27	137010512	phoenix_next.session_state_transitions	no	and((transition_at in (-Inf, '4102444800')), and((transition_at in (-Inf, '1785110400')), (transition_at in ['1785024000', +Inf)))) ; granules 72/72
platform+country	154	78	576093	49010258	27	158665115	phoenix_next.session_state_transitions	no	and((transition_at in (-Inf, '4102444800')), and((transition_at in (-Inf, '1785110400')), (transition_at in ['1785024000', +Inf)))) ; granules 72/72
#	query	sql/insights/benchmark/state_flow.sql
#	window	2026-07-26 00:00:00 -> 2026-07-27 00:00:00
#	service	26.2.1.525
#	use_query_cache	0
gate.raw_events_in_plan	0	(required 0)	PASS
