# evidence: inventory_phoenix_next
# what: engines, keys, columns, views and their health, read from system.* on phoenix_next
# run_utc: 2026-08-01 23:49:41
# git: fdf9612-dirty
# host: ss-cric
# row_count: 2074162
# event_watermark: 2026-08-01 23:49:21.595
# frozen_before: 2026-08-01
# frozen_slice_rows: 905558   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-01 23:49:21   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
section	object	detail
version	database	phoenix_next
version	server	26.2.1.525
table	audience_minute_snapshot	SharedReplacingMergeTree | ORDER BY (minute, content_id, platform, country, video_type, app_version) | PARTITION BY (toYYYYMMDD(minute)) | parts 10 | 1.26 MiB
table	concurrency_boundary_deltas	SharedSummingMergeTree | ORDER BY (platform, country, video_type, content_id, app_version, ts) | PARTITION BY (toYYYYMMDD(ts)) | parts 8 | 261.17 KiB
table	concurrency_deltas	SharedSummingMergeTree | ORDER BY (platform, country, video_type, content_id, app_version, minute) | PARTITION BY (toYYYYMMDD(minute)) | parts 10 | 179.74 KiB
table	concurrency_spike_events	SharedReplacingMergeTree | ORDER BY (content_id, window_start) | PARTITION BY (none) | parts 2 | 5.55 KiB
table	content	SharedReplacingMergeTree | ORDER BY (content_id) | PARTITION BY (none) | parts 2 | 221.34 KiB
table	content_entry_cohorts	SharedReplacingMergeTree | ORDER BY (video_type, country, platform, app_version, content_id, cohort_minute) | PARTITION BY (toYYYYMMDD(cohort_minute)) | parts 8 | 276.11 KiB
table	foreground_intervals	SharedMergeTree | ORDER BY (video_session_id, interval_start) | PARTITION BY (toYYYYMMDD(interval_start)) | parts 15 | 10.01 MiB
table	late_event_audit	SharedMergeTree | ORDER BY (lateness_class, event_date, video_session_id, event_timestamp) | PARTITION BY (event_date) | parts 2 | 463.65 KiB
table	playback_health_minute	SharedReplacingMergeTree | ORDER BY (minute, content_id, platform, country, app_version, video_type) | PARTITION BY (toYYYYMMDD(minute)) | parts 9 | 303.92 KiB
table	raw_events	SharedMergeTree | ORDER BY (video_session_id, event_timestamp) | PARTITION BY (toYYYYMMDD(event_timestamp)) | parts 16 | 34.79 MiB
table	raw_events_landing	Null | ORDER BY (none) | PARTITION BY (none) | parts 0 | 0.00 B
table	session_insight_facts	SharedReplacingMergeTree | ORDER BY (toDate(session_start), country, platform, content_id, session_start, video_session_id) | PARTITION BY (toYYYYMM(session_start)) | parts 4 | 7.63 MiB
table	session_minute_runs	SharedCollapsingMergeTree | ORDER BY (video_session_id, run_start, run_end) | PARTITION BY (toYYYYMMDD(run_start)) | parts 14 | 6.99 MiB
table	session_state_transitions	SharedCollapsingMergeTree | ORDER BY (video_session_id, playback_instance_no, transition_at, transition_sequence) | PARTITION BY (toYYYYMM(transition_at)) | parts 7 | 11.46 MiB
table	user_concurrency_deltas	SharedSummingMergeTree | ORDER BY (platform, country, video_type, content_id, app_version, minute) | PARTITION BY (toYYYYMMDD(minute)) | parts 13 | 186.33 KiB
table	user_content_transitions	SharedReplacingMergeTree | ORDER BY (toDate(transition_at), transition_type, from_content_id, to_content_id, transition_at, user_id, to_session_id) | PARTITION BY (toYYYYMM(transition_at)) | parts 3 | 263.53 KiB
table	user_minute_runs	SharedCollapsingMergeTree | ORDER BY (user_id, run_start, run_end) | PARTITION BY (toYYYYMMDD(run_start)) | parts 14 | 4.10 MiB
