"minute_ts","concurrent_sessions"
1784043780,1
1784043840,1
1784043900,1
1784044080,1
1784044140,1
1784044200,1
1784044260,1
1784044320,1
1784044380,1
1784044560,1
1784044620,1
1784044680,1
1784044740,1
1784044800,1
1784045760,1
1784045820,1
1784047260,1
1784047320,1
1784047380,1
1784047440,1
1784047500,1
1784047560,1
1784047620,1
1784047680,1
1784047740,1
1784047980,1
1784637360,1
1784637420,1
1784637480,1
1784637540,1
1784637600,1
1784637660,1
1784638860,1
1784638920,1
1784638980,1
1784639040,1
1784639100,1
1784639160,1
1784639220,1
1784639280,1
1784639340,1
1784658900,1
1784658960,1
1784659020,1
1784659080,1
1784659140,1
1784659200,1
1784679060,1
1784679120,1
1784679180,1
1784679240,1
1784679300,1
1784679360,1
1784679420,1
1784679480,1
1784679540,1
1784680440,1
1784682360,1
1784682420,1
1784682480,1
1784682540,1
1784682600,1
1784682660,1
1784682720,1
1784682780,1
1784682840,1
1784682900,1
1784682960,1
1784683020,1
1784683080,1
1784683140,1
1784683200,1
1784683260,1
1784683320,1
1784683380,1
1784699700,1
1784699760,1
1784699820,1
1784699880,1
1784699940,1
1784700000,1
1784700060,1
1784700120,1
1784700180,1
1784700240,1
1784700300,1
1784700360,1
1784700420,1
1784700480,1
1784700540,1
1784700600,1
1784700660,1
1784700720,1
1784700780,1
1784700840,1
1784700900,1
1784700960,1
1784701020,1
1784701080,1
1784701140,1
1784701200,1
1784702760,1
1784702820,1
1784702880,1
1784702940,1
1784703000,1
1784703060,1
1784703120,1
1784703180,1
1784703240,1
1784703300,1
1784703360,1
1784703420,1
1784703480,1
1784703540,1
1784703600,1
1784703660,1
1784703720,1
1784703780,1
1784703840,1
1784703900,1
1784703960,1
1784704020,1
1784704080,1
1784704140,1
1784704200,1
1784704260,1
1784704320,1
1784704380,1
1784704440,1
1784704500,1
1784704560,1
1784704620,1
1784704740,1
1784704800,1
1784704860,1
1784704920,1
1784704980,1
1784705040,1
1784705100,1
1784705160,1
1784705220,1
1784705280,1
1784705340,1
1784705400,1
1784705460,1
1784705520,1
1784705580,1
1784705640,1
1784705700,1
1784705820,1
1784705880,1
1784705940,1
1784706000,2
1784706060,1
1784706120,1
1784706180,1
1784706240,1
1784706300,1
1784706360,1
1784706420,1
1784706480,1
1784706540,1
1784706600,1
1784706660,1
1784706720,1
1784706780,1
1784706840,1
1784706900,1
1784706960,1
1784707020,1
1784707080,1
1784707140,1
1784707200,1
1784707260,1
1784707320,1
1784707380,1
1784707440,1
1784707500,1
1784707560,1
1784707620,1
1784707680,1
1784714280,1
1784714340,1
1784714400,1
1784714460,1
1784714520,1
1784714640,1
1784714700,1
1784714760,1
1784714820,1
1784714880,1
1784714940,1
1784715000,1
1784715060,1
1784715120,1
1784715180,1
1784715240,1
1784715300,1
1784715360,1
1784715660,1
1784715720,1
1784715780,1
1784715840,1
1784715960,1
1784724360,1
1784724420,1
1784725080,1
1784725140,1
1784725200,1
1784725320,1
1784725380,1
1784725440,1
1784725500,1
1784725560,1
1784725620,1
1784725680,1
1784725740,1
1784725800,1
1784725860,1
1784725920,1
1784725980,1
1784726040,1
1784726100,1
1784726160,1
1784726220,1
1784726280,1
1784726340,1
1784726400,1
1784726460,1
1784726520,1
1784726580,1
1784726640,1
1784726700,1
1784726760,1
1784726820,1
1784726880,1
1784726940,1
1784727000,1
1784727060,1
1784727120,1
1784727180,1
1784727240,1
1784727300,1
1784727360,1
1784727540,1
1784727600,1
1784727660,1
1784727720,1
1784727780,1
1784728020,2
1784728080,2
1784728140,1
1784728200,2
1784728260,2
1784728320,2
1784728380,2
1784728440,2
1784728500,1
1784732280,1
1784732340,1
1784732400,1
1784732460,1
1784732520,1
1784732580,1
1784732640,1
1784732700,1
1784732760,1
1784732820,1
1784732880,1
1784732940,1
1784733000,1
1784733060,1
1784733120,1
1784733180,1
1784733240,2
1784733300,1
1784733360,1
1784733420,1
1784733480,1
1784733540,2
1784733600,2
1784733660,2
1784733720,2
1784733780,2
1784733840,2
1784733900,2
1784733960,2
1784734020,2
1784734080,2
1784734140,2
1784734200,2
1784734260,2
1784734320,2
1784734380,2
1784734440,3
1784734500,2
1784734560,1
1784734620,2
1784734680,2
1784734740,2
1784734800,2
1784734860,2
1784734920,2
1784734980,3
1784735040,3
1784735100,3
1784735160,2
1784735220,2
1784735280,2
1784735340,2
1784735400,2
1784735460,2
1784735520,2
1784735580,2
1784735640,1
1784735700,2
1784735760,2
1784735820,2
1784735880,2
1784735940,2
1784736000,2
1784736060,1
1784736120,1
1784736180,1
1784736240,1
1784736300,2
1784736360,2
1784736420,2
1784736480,2
1784736540,2
1784736600,3
1784736660,2
1784736720,2
1784736780,2
1784736840,2
1784736900,2
1784736960,1
1784737020,2
1784737080,2
1784737140,2
1784737200,2
1784737260,2
1784737320,2
1784737380,2
1784737440,2
1784737500,2
1784737560,2
1784737620,2
1784737680,2
1784737740,2
1784737800,2
1784737860,2
1784737920,2
1784737980,2
1784738040,2
1784738100,1
1784738160,1
1784738220,1
1784738280,1
1784738340,1
1784738400,1
1784738460,1
1784738520,1
1784738580,2
1784738640,1
1784738700,2
1784738760,2
1784738820,2
1784738880,2
1784738940,2
1784739000,2
1784739060,2
1784739120,1
1784739180,1
1784739240,2
1784739300,2
1784739360,2
1784739420,1
1784739480,2
1784739540,1
1784739600,1
1784739660,1
1784739720,1
1784739780,1
1784739840,1
1784740500,1
1784740560,1
1784740620,1
1784740680,1
1784740740,1
1784740800,1
1784740860,1
1784740920,2
1784740980,2
1784741040,2
1784741100,2
1784741160,1
1784741220,1
1784741280,1
1784741340,2
1784741520,1
1784741580,1
1784741640,1
1784741700,1
1784741760,1
1784741820,1
1784741880,1
1784741940,1
1784742000,2
1784742060,3
1784742120,3
1784742180,2
1784742240,1
1784742360,1
1784742420,1
1784742480,1
1784743140,1
1784743200,1
1784743260,1
1784743320,1
1784743380,2
1784743440,2
1784743500,1
1784743560,1
1784743620,1
1784743680,1
1784743740,1
1784745600,1
1784745660,1
1784745720,1
1784745780,1
1784745840,1
1784745900,1
1784745960,1
1784746020,1
1784746080,1
1784746140,1
1784746200,1
1784746260,1
1784746320,1
1784746380,1
1784746440,1
1784746500,2
1784746560,2
1784746620,2
1784746680,2
1784746740,2
1784746800,2
1784746860,2
1784746920,2
1784746980,2
1784747040,2
1784747100,1
1784747160,1
1784747220,1
1784747280,1
1784747340,1
1784747400,1
1784747460,1
1784747520,1
1784747580,1
1784747640,1
1784747700,1
1784747760,1
1784747820,1
1784747880,1
1784747940,1
1784748000,1
1784748060,1
1784748120,1
1784748180,1
1784748240,2
1784748300,1
1784748360,1
1784748420,1
1784748480,1
1784748540,1
1784748600,1
1784748660,1
1784748720,1
1784748780,1
1784748840,1
1784748900,1
1784748960,1
1784749020,1
1784749080,1
1784749140,1
1784749200,1
1784749260,1
1784749320,1
1784749380,1
1784749440,1
1784749500,1
1784749560,1
1784749620,1
1784749680,1
1784749740,1
1784749800,1
1784749860,1
1784749920,1
1784749980,1
1784750040,1
1784750100,1
1784750160,1
1784750220,1
1784750280,1
1784750340,1
1784750400,1
1784750460,1
1784750520,1
1784750580,1
1784750640,1
1784750700,1
1784750760,1
1784750820,1
1784750880,1
1784750940,1
1784771700,1
1784771760,1
1784771820,1
1784771880,1
1784771940,1
1784772000,1
1784772060,1
1784772120,1
1784774340,1
1784774400,1
1784776620,1
1784776680,1
1784781120,1
1784785500,1
1784785560,1
1784785620,1
1784785680,1
1784785740,1
1784785800,1
1784785860,1
1784785920,1
1784785980,1
1784786040,1
1784786100,1
1784786160,1
1784786220,1
1784786280,1
1784786340,1
1784786400,1
1784786460,1
1784786520,1
1784786580,1
1784789400,1
1784789460,1
1784789520,1
1784789580,1
1784789640,1
1784789700,1
1784789760,1
1784789820,1
1784789880,1
1784789940,1
1784790000,1
1784790060,1
1784790120,1
1784790180,1
1784790240,1
1784790300,1
1784790360,1
1784790420,1
1784790480,1
1784790540,1
1784790900,1
1784790960,1
1784791020,1
1784791080,1
1784791140,1
1784791920,1
1784791980,1
1784792040,1
1784792100,1
1784792160,1
1784792220,1
1784792280,1
1784792340,1
1784792400,1
1784792460,1
1784792520,1
1784792580,1
1784792640,1
1784792700,1
1784792760,1
1784792820,1
1784792880,1
1784792940,1
1784793000,1
1784793060,1
1784793120,1
1784793180,1
1784793240,1
1784793300,1
1784793360,1
1784793420,1
1784793480,1
1784793540,1
1784793600,1
1784793660,1
1784793780,1
1784793840,1
1784793900,1
1784793960,1
1784794020,2
1784794080,2
1784794140,2
1784794200,2
1784794260,2
1784794320,1
1784794380,1
1784794440,1
1784794500,1
1784794560,1
1784794620,1
1784794680,1
1784794740,1
1784794860,1
1784794920,1
1784795160,1
1784795220,1
1784795280,1
1784795340,1
1784795400,1
1784795460,1
1784795520,1
1784795580,1
1784795640,2
1784795700,2
1784795760,2
1784795820,2
1784795880,2
1784795940,2
1784796000,1
1784796060,1
1784796120,1
1784796180,1
1784796240,1
1784796300,1
1784796360,1
1784796420,1
1784796480,1
1784796540,2
1784796600,2
1784796660,2
1784796720,2
1784796780,2
1784796840,2
1784796900,2
1784796960,2
1784797020,2
1784797080,2
1784797140,2
1784797200,3
1784797260,3
1784797320,3
1784797380,3
1784797440,3
1784797500,3
1784797560,3
1784797620,3
1784797680,3
1784797740,2
1784797800,3
1784797860,3
1784797920,3
1784797980,3
1784798040,3
1784798100,3
1784798160,2
1784798220,2
1784798280,2
1784798340,1
1784798400,1
1784798460,1
1784798520,1
1784798580,1
1784798640,1
1784798700,1
1784798760,1
1784798820,1
1784798880,1
1784798940,1
1784799000,1
1784799060,1
1784799120,1
1784799180,1
1784799240,1
1784799300,1
1784799360,1
1784799420,2
1784799480,2
1784799540,1
1784799600,1
1784799660,1
1784799720,1
1784799780,1
1784799900,1
1784799960,1
1784800020,1
1784800080,1
1784800140,1
1784800200,1
1784800260,1
1784800320,1
1784800380,1
1784800440,1
1784803680,1
1784803740,1
1784803800,1
1784803860,1
1784803920,1
1784803980,1
1784805060,1
1784805120,1
1784805180,1
1784805240,1
1784805300,1
1784805360,1
1784805420,1
1784805480,1
1784805540,1
1784805600,1
1784805660,1
1784805720,1
1784805780,1
1784805840,1
1784805900,1
1784805960,2
1784806020,1
1784806080,1
1784806260,1
1784806320,1
1784806380,1
1784806440,1
1784806500,1
1784806560,1
1784806620,1
1784806680,1
1784806740,1
1784806800,1
1784806860,1
1784806920,1
1784806980,1
1784807040,1
1784807100,1
1784807160,1
1784807220,1
1784807280,1
1784807340,1
1784807400,1
1784807460,1
1784807520,1
1784807580,1
1784807640,1
1784807700,1
1784807760,2
1784807820,2
1784807880,2
1784807940,2
1784808000,2
1784808060,2
1784808120,2
1784808180,2
