event_time	duration_ms	read_rows	read_bytes	result_rows	query
2026-08-01 16:01:53	322	33464	737339	33464	SELECT `content_id`, `title`, `video_type`, `category` FROM `sony`.`content_dim`;
2026-08-01 16:07:03	40	33464	737339	33464	SELECT `content_id`, `title`, `video_type`, `category` FROM `sony`.`content_dim`;
2026-08-01 16:15:33	70	33464	737339	33464	SELECT `content_id`, `title`, `video_type`, `category` FROM `sony`.`content_dim`;
2026-08-01 16:20:28	64	1	1	1	SELECT version() FORMAT TabSeparated 
2026-08-01 16:20:28	15	1	1	1	SELECT version() FORMAT TabSeparated 
2026-08-01 16:20:29	8	0	0	0	CREATE DATABASE IF NOT EXISTS sony 
2026-08-01 16:20:29	0	0	0	0	CREATE DATABASE IF NOT EXISTS sony 
2026-08-01 16:20:29	74	0	0	0	CREATE TABLE IF NOT EXISTS sony.raw_events (                              content_id           Int64,     video_session_id     String              CODEC(ZSTD(3)),     user_id              String              CODEC(ZSTD(3)),     event_type           LowCardinality(String),     event                Lo
2026-08-01 16:20:29	0	0	0	0	CREATE TABLE IF NOT EXISTS sony.content_dim (     content_id Int64,     title      String,     video_type LowCardinality(String),     category   LowCardinality(String) ) ENGINE = ReplacingMergeTree ORDER BY content_id 
2026-08-01 16:20:29	4	0	0	0	CREATE DICTIONARY IF NOT EXISTS sony.content_dict (`content_id` Int64, `title` String, `video_type` String, `category` String) PRIMARY KEY content_id SOURCE(CLICKHOUSE(TABLE \'content_dim\' DB \'sony\' USER \'default\' PASSWORD \'[HIDDEN]\')) LIFETIME(MIN 300 MAX 600) LAYOUT(COMPLEX_KEY_HASHED())
2026-08-01 16:20:29	79	0	0	0	TRUNCATE TABLE IF EXISTS sony.raw_events 
2026-08-01 16:20:29	49	0	0	0	TRUNCATE TABLE IF EXISTS sony.session_active_intervals 
2026-08-01 16:20:29	47	0	0	0	TRUNCATE TABLE IF EXISTS sony.concurrency_minute_delta 
2026-08-01 16:20:29	9	0	0	0	TRUNCATE TABLE IF EXISTS sony.concurrency_hourly_checkpoint 
