event_time	duration_ms	read_rows	read_bytes	result_rows	query
2026-08-01 18:40:54	7	144	34695	144	SELECT             name,             value,             help,             JSONExtract(labels_serialized, \'Map(String, String)\') as labels,             type         FROM merge(system, \'^_custom_metrics_dictionary_.*\')         FORMAT Prometheus
2026-08-01 18:40:54	2	0	0	1	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_TotalMemoryUsedByAsynchronousInserts\' AS name,   toFloat64(SUM(t
2026-08-01 18:40:54	4	0	0	1	SELECT min(event_time), now() - INTERVAL 600 SECOND maxSettlePoint FROM system.query_views_log WHERE event_time >= toDateTime32(\'1785604452\') AND event_date >= toDate(toDateTime32(\'1785604452\')) AND event_time <= maxSettlePoint
2026-08-01 18:40:55	5	8201	49206	1	SELECT min(event_time), now() - INTERVAL 600 SECOND maxSettlePoint FROM system.blob_storage_log WHERE event_time >= toDateTime32(\'1785608918\') AND event_date >= toDate(toDateTime32(\'1785608918\')) AND event_time <= maxSettlePoint
2026-08-01 18:40:56	4	4288	4372	2	SELECT reason, count() FROM sony.stream_dlq GROUP BY reason ORDER BY 2 DESC LIMIT 12 FORMAT TabSeparated 
2026-08-01 18:40:56	5	20994	125964	1	SELECT min(event_time), now() - INTERVAL 600 SECOND maxSettlePoint FROM system.trace_log WHERE event_time >= toDateTime32(\'1785608919\') AND event_date >= toDate(toDateTime32(\'1785608919\')) AND event_time <= maxSettlePoint
2026-08-01 18:40:57	2	1	16	1	SELECT count() FROM sony.raw_events FORMAT TabSeparated 
2026-08-01 18:40:57	6	19549	117294	1	SELECT min(event_time), now() - INTERVAL 600 SECOND maxSettlePoint FROM system.text_log WHERE event_time >= toDateTime32(\'1785608926\') AND event_date >= toDate(toDateTime32(\'1785608926\')) AND event_time <= maxSettlePoint
2026-08-01 18:40:58	49	3262660	19575960	1	SELECT min(event_time), now() - INTERVAL 600 SECOND maxSettlePoint FROM system.asynchronous_metric_log WHERE event_time >= toDateTime32(\'1785608925\') AND event_date >= toDate(toDateTime32(\'1785608925\')) AND event_time <= maxSettlePoint
2026-08-01 18:40:59	3	15	9657	0	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'clickhouse_table_replica_readonly_start_timestamp_seconds\' as name,   toFloat64(toUnixTi
