event_time	duration_ms	read_rows	read_bytes	result_rows	query
2026-08-02 02:23:58	2	0	0	1	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_TotalMemoryUsedByMerges\' AS name,   toFloat64(SUM(memory_usage))
2026-08-02 02:23:58	3	6	213	0	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_SharedCatalogRecoveryTime\' as name,   toFloat64(recovery_time) a
2026-08-02 02:23:58	3	2	12834	1	SELECT count() FROM system.processes WHERE (initial_user NOT IN _CAST([\'backups-internal\', \'management-internal\', \'monitoring-internal\', \'observability-internal\', \'operator-internal\', \'prometheus-exporter\', \'prometheus-internal\', \'operator-cert-internal\', \'availability-monitoring-internal\', \'\'], \'Ar
2026-08-02 02:23:58	23	3172	595205	132	SELECT CAST(\'0fc3eaab-fbcb-4533-8825-9be9faaea781\', \'UUID\') AS instance_id, CAST(\'c-boneaws-al-46-server-j62zx3k-0\', \'LowCardinality(String)\') AS node_id, CAST(name, \'LowCardinality(String)\') AS metric, CAST(mapFilter((k, v) -> has(_CAST([\'remote\'], \'Array(String)\'), k), labels), \'Map(LowCardinality
2026-08-02 02:23:58	2	112	1578	1	SELECT countIf(database = \'system\') as systemParts, countIf(database != \'system\') as nonSystemParts FROM system.parts where active
2026-08-02 02:23:58	1	0	0	1	SELECT countIf(database = \'system\') as systemMerges, countIf(database != \'system\') as nonSystemMerges FROM system.merges
2026-08-02 02:24:01	570	0	0	0	SYSTEM FLUSH LOGS
2026-08-02 02:24:01	0	0	0	0	SYSTEM STOP LISTEN CUSTOM \'tcp\'
2026-08-02 02:24:01	0	0	0	0	SYSTEM STOP LISTEN CUSTOM \'tcp_secure\'
2026-08-02 02:24:01	0	0	0	0	SYSTEM STOP LISTEN CUSTOM \'http\'
2026-08-02 02:24:01	0	0	0	0	SYSTEM STOP LISTEN CUSTOM \'http_secure\'
2026-08-02 02:24:01	0	0	0	0	SYSTEM STOP LISTEN CUSTOM \'tcp_over_proxy\'
2026-08-02 02:24:01	0	0	0	0	SYSTEM STOP LISTEN CUSTOM \'http_over_proxy\'
2026-08-02 02:24:01	0	0	0	0	SYSTEM STOP LISTEN CUSTOM \'mysql\'
2026-08-02 02:24:01	0	0	0	0	SYSTEM PAUSE VIEWS
2026-08-02 02:24:02	1	1	1	1	SELECT subtractSeconds(now(), 15) FORMAT TabSeparatedRaw
2026-08-02 02:24:08	1	6	2128	6	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   concat(\'clickhouse_\', system.dimensional_metrics.metric) AS name,   toFloat64(system.dime
2026-08-02 02:24:13	2	0	0	1	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_TotalMemoryUsedByMerges\' AS name,   toFloat64(SUM(memory_usage))
2026-08-02 02:24:13	2	2	6215	1	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_TotalMemoryUsedByQueries\' AS name,   toFloat64(SUM(peak_memory_u
2026-08-02 02:24:17	6	130	31803	130	SELECT             name,             value,             help,             JSONExtract(labels_serialized, \'Map(String, String)\') as labels,             type         FROM merge(system, \'^_custom_metrics_dictionary_.*\')         FORMAT Prometheus
2026-08-02 02:24:18	1	0	0	1	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_TotalMemoryUsedByAsynchronousInserts\' AS name,   toFloat64(SUM(t
2026-08-02 02:24:20	5	130	31803	130	SELECT             name,             value,             help,             JSONExtract(labels_serialized, \'Map(String, String)\') as labels,             type         FROM merge(system, \'^_custom_metrics_dictionary_.*\')         FORMAT Prometheus
2026-08-02 02:24:21	6	130	31803	130	SELECT             name,             value,             help,             JSONExtract(labels_serialized, \'Map(String, String)\') as labels,             type         FROM merge(system, \'^_custom_metrics_dictionary_.*\')         FORMAT Prometheus
2026-08-02 02:24:23	2	0	0	0	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_FailedMutations\' as name,   toFloat64(count()) as value,   \'The 
2026-08-02 02:24:23	2	59	472	1	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_TotalMemoryUsedByDataSkippingIndices\' AS name,   toFloat64(SUM(d
2026-08-02 02:24:23	3	6	213	0	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_DatabaseReplicatedRecoveryTime\' as name,   toFloat64(recovery_ti
2026-08-02 02:24:28	3	20	12866	0	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'clickhouse_table_replica_readonly_start_timestamp_seconds\' as name,   toFloat64(toUnixTi
2026-08-02 02:24:33	1	6	2128	6	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   concat(\'clickhouse_\', system.dimensional_metrics.metric) AS name,   toFloat64(system.dime
2026-08-02 02:24:33	2	15	1013	15	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT     \'ClickHouse_MetricsCollection_CustomMetricsSystemTable\' AS name,     toFloat64(1) AS va
2026-08-02 02:24:33	2	6	213	0	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_SharedCatalogRecoveryTime\' as name,   toFloat64(recovery_time) a
2026-08-02 02:24:34	562	0	0	0	SYSTEM FLUSH LOGS
2026-08-02 02:24:34	2	2	55	1	SELECT COUNT() FROM system.databases WHERE name = \'default\' AND engine = \'Shared\'
2026-08-02 02:24:34	0	1	1	1	SELECT hostname()
2026-08-02 02:24:34	30	1	573	1	         SELECT             count(*),             create_table_query         FROM system.tables         WHERE database = \'system\'         AND name = \'system_tables_tracking_boneaws_al_46\'         GROUP by create_table_query
2026-08-02 02:24:34	2	27	6373	22	         SELECT             name,             uuid,             hostname() as h,             data_paths[1] as data_path         FROM system.tables         WHERE database = \'system\'         AND (name LIKE \'%_log\' OR name LIKE \'%_log_%\')         AND (storage_policy = \'plain_rewritable_system_tables\' O
2026-08-02 02:24:34	10	66	8619	22	 SELECT hostname() as executing_replica, uuid, name, origin_replica, attached_replica_id FROM system.system_tables_tracking_boneaws_al_46 WHERE attached_replica_id = \'c-boneaws-al-46-server-j62zx3k-0\' OR attached_replica_id IS NULL OR origin_replica = \'c-boneaws-al-46-server-j62zx3k-0\'        
2026-08-02 02:24:34	0	0	0	0	SYSTEM REPLICA READY
2026-08-02 02:24:34	5	391	120780	1	         WITH (             SELECT coalesce(value, \'false\')             FROM system.server_settings             WHERE name = \'dictionaries_lazy_load\'         ) as lazy SELECT count() as total, countIf(status = \'LOADED\') as loaded, countIf(status = \'LOADING\') as loading, countIf(status 
2026-08-02 02:24:35	2	13	4480	1	SELECT COUNT() FROM system.users WHERE name=\'sql-console\'
2026-08-02 02:24:35	2	13	4480	1	SELECT COUNT() FROM system.users WHERE name = \'sql-console\' AND arrayExists(p -> has(JSONExtract(p, \'common_names\', \'Array(String)\'), \'6762a73de56d2d7758c5dfbd888dc99003c6640e682e00acfab0b7fba016dcb1\'), auth_params)
2026-08-02 02:24:35	1	4	235	1	SELECT COUNT() FROM system.roles WHERE name=\'default_role\'
2026-08-02 02:24:35	1	5	374	3	SELECT user_name AS UserName FROM system.role_grants WHERE granted_role_name=\'default_role\'
2026-08-02 02:24:35	1	13	4480	1	SELECT COUNT() FROM system.users WHERE name=\'default\'
2026-08-02 02:24:35	0	0	0	0	DROP USER IF EXISTS \'mysql4s9vfs5b226\';
2026-08-02 02:24:35	0	0	0	0	DROP ROLE IF EXISTS clickpipes;
2026-08-02 02:24:35	1	4	235	1	SELECT COUNT() FROM system.roles WHERE name=\'clickpipes_system\'
2026-08-02 02:24:35	1	5	374	1	SELECT user_name AS UserName FROM system.role_grants WHERE granted_role_name=\'clickpipes_system\'
2026-08-02 02:24:35	1	4	235	1	SELECT COUNT() FROM system.roles WHERE name=\'clickpipes_system\'
2026-08-02 02:24:35	1	5	374	1	SELECT user_name AS UserName FROM system.role_grants WHERE granted_role_name=\'clickpipes_system\'
2026-08-02 02:24:35	1	4	235	1	SELECT COUNT() FROM system.roles WHERE name=\'sql_console_admin\'
2026-08-02 02:24:35	1	5	374	1	SELECT user_name AS UserName FROM system.role_grants WHERE granted_role_name=\'sql_console_admin\'
2026-08-02 02:24:35	1	4	235	1	SELECT COUNT() FROM system.roles WHERE name=\'sql_console_read_only\'
2026-08-02 02:24:35	1	5	374	0	SELECT user_name AS UserName FROM system.role_grants WHERE granted_role_name=\'sql_console_read_only\'
2026-08-02 02:24:35	9	0	0	0	REVOKE clickpipes_system FROM \'default_role\';
2026-08-02 02:24:35	606	0	0	0	SYSTEM FLUSH LOGS
2026-08-02 02:24:35	1	2	55	1	SELECT COUNT() FROM system.databases WHERE name = \'default\' AND engine = \'Shared\'
2026-08-02 02:24:35	0	1	1	1	SELECT hostname()
2026-08-02 02:24:35	22	1	573	1	         SELECT             count(*),             create_table_query         FROM system.tables         WHERE database = \'system\'         AND name = \'system_tables_tracking_boneaws_al_46\'         GROUP by create_table_query
2026-08-02 02:24:35	2	27	6373	22	         SELECT             name,             uuid,             hostname() as h,             data_paths[1] as data_path         FROM system.tables         WHERE database = \'system\'         AND (name LIKE \'%_log\' OR name LIKE \'%_log_%\')         AND (storage_policy = \'plain_rewritable_system_tables\' O
2026-08-02 02:24:35	9	66	8619	22	 SELECT hostname() as executing_replica, uuid, name, origin_replica, attached_replica_id FROM system.system_tables_tracking_boneaws_al_46 WHERE attached_replica_id = \'c-boneaws-al-46-server-j62zx3k-0\' OR attached_replica_id IS NULL OR origin_replica = \'c-boneaws-al-46-server-j62zx3k-0\'        
2026-08-02 02:24:35	0	0	0	0	SYSTEM REPLICA READY
2026-08-02 02:24:35	5	391	120780	1	         WITH (             SELECT coalesce(value, \'false\')             FROM system.server_settings             WHERE name = \'dictionaries_lazy_load\'         ) as lazy SELECT count() as total, countIf(status = \'LOADED\') as loaded, countIf(status = \'LOADING\') as loading, countIf(status 
2026-08-02 02:24:38	1	0	0	1	             SELECT                 name,                 toJSONString(labels) as labels_serialized,                 value,                 help,                 type             FROM (                 SELECT   \'ClickHouse_CustomMetric_TotalMemoryUsedByMerges\' AS name,   toFloat64(SUM(memory_usage))
2026-08-02 02:24:41	2	13	4480	1	SELECT COUNT() FROM system.users WHERE name=\'sql-console\'
2026-08-02 02:24:41	2	13	4480	1	SELECT COUNT() FROM system.users WHERE name = \'sql-console\' AND arrayExists(p -> has(JSONExtract(p, \'common_names\', \'Array(String)\'), \'6762a73de56d2d7758c5dfbd888dc99003c6640e682e00acfab0b7fba016dcb1\'), auth_params)
2026-08-02 02:24:41	1	4	235	1	SELECT COUNT() FROM system.roles WHERE name=\'default_role\'
2026-08-02 02:24:41	1	5	374	3	SELECT user_name AS UserName FROM system.role_grants WHERE granted_role_name=\'default_role\'
2026-08-02 02:24:41	1	13	4480	1	SELECT COUNT() FROM system.users WHERE name=\'default\'
2026-08-02 02:24:41	0	0	0	0	DROP USER IF EXISTS \'mysql4s9vfs5b226\';
2026-08-02 02:24:41	0	0	0	0	DROP ROLE IF EXISTS clickpipes;
2026-08-02 02:24:41	1	4	235	1	SELECT COUNT() FROM system.roles WHERE name=\'clickpipes_system\'
2026-08-02 02:24:41	1	5	374	1	SELECT user_name AS UserName FROM system.role_grants WHERE granted_role_name=\'clickpipes_system\'
2026-08-02 02:24:41	1	4	235	1	SELECT COUNT() FROM system.roles WHERE name=\'clickpipes_system\'
2026-08-02 02:24:41	1	5	374	1	SELECT user_name AS UserName FROM system.role_grants WHERE granted_role_name=\'clickpipes_system\'
2026-08-02 02:24:41	1	4	235	1	SELECT COUNT() FROM system.roles WHERE name=\'sql_console_admin\'
2026-08-02 02:24:41	1	5	374	1	SELECT user_name AS UserName FROM system.role_grants WHERE granted_role_name=\'sql_console_admin\'
2026-08-02 02:24:41	1	4	235	1	SELECT COUNT() FROM system.roles WHERE name=\'sql_console_read_only\'
2026-08-02 02:24:41	1	5	374	0	SELECT user_name AS UserName FROM system.role_grants WHERE granted_role_name=\'sql_console_read_only\'
2026-08-02 02:24:41	9	0	0	0	REVOKE clickpipes_system FROM \'default_role\';
2026-08-02 02:24:41	595	0	0	0	SYSTEM FLUSH LOGS
2026-08-02 02:24:41	1	2	55	1	SELECT COUNT() FROM system.databases WHERE name = \'default\' AND engine = \'Shared\'
2026-08-02 02:24:41	0	1	1	1	SELECT hostname()
2026-08-02 02:24:41	27	1	573	1	         SELECT             count(*),             create_table_query         FROM system.tables         WHERE database = \'system\'         AND name = \'system_tables_tracking_boneaws_al_46\'         GROUP by create_table_query
2026-08-02 02:24:41	2	27	6373	22	         SELECT             name,             uuid,             hostname() as h,             data_paths[1] as data_path         FROM system.tables         WHERE database = \'system\'         AND (name LIKE \'%_log\' OR name LIKE \'%_log_%\')         AND (storage_policy = \'plain_rewritable_system_tables\' O
2026-08-02 02:24:41	10	66	8619	22	 SELECT hostname() as executing_replica, uuid, name, origin_replica, attached_replica_id FROM system.system_tables_tracking_boneaws_al_46 WHERE attached_replica_id = \'c-boneaws-al-46-server-j62zx3k-0\' OR attached_replica_id IS NULL OR origin_replica = \'c-boneaws-al-46-server-j62zx3k-0\'        
2026-08-02 02:24:41	0	0	0	0	SYSTEM REPLICA READY
2026-08-02 02:24:41	5	391	120780	1	         WITH (             SELECT coalesce(value, \'false\')             FROM system.server_settings             WHERE name = \'dictionaries_lazy_load\'         ) as lazy SELECT count() as total, countIf(status = \'LOADED\') as loaded, countIf(status = \'LOADING\') as loading, countIf(status 
2026-08-02 02:24:47	5	130	31803	130	SELECT             name,             value,             help,             JSONExtract(labels_serialized, \'Map(String, String)\') as labels,             type         FROM merge(system, \'^_custom_metrics_dictionary_.*\')         FORMAT Prometheus
2026-08-02 02:24:47	1	13	4480	1	SELECT COUNT() FROM system.users WHERE name=\'sql-console\'
