advertiser_id,vertical,campaign_type
adv_0000,ecommerce,CPC
adv_0001,finance,CPC
adv_0002,ecommerce,CPM
adv_0003,cpg,CPC
adv_0004,auto,CPI
adv_0005,auto,CPM
adv_0006,cpg,CPI
adv_0007,entertainment,CPM
adv_0008,finance,CPI
adv_0009,cpg,CPC
adv_0010,travel,CPM
adv_0011,travel,CPM
adv_0012,travel,CPC
adv_0013,entertainment,CPI
adv_0014,entertainment,CPM
adv_0015,entertainment,CPM
adv_0016,cpg,CPI
adv_0017,finance,CPM
adv_0018,ecommerce,CPM
adv_0019,cpg,CPM
adv_0020,auto,CPC
adv_0021,gaming,CPI
adv_0022,entertainment,CPC
adv_0023,ecommerce,CPM
adv_0024,entertainment,CPM
adv_0025,travel,CPC
adv_0026,finance,CPM
adv_0027,entertainment,CPI
adv_0028,cpg,CPI
adv_0029,travel,CPM
adv_0030,entertainment,CPC
adv_0031,auto,CPM
adv_0032,cpg,CPC
adv_0033,entertainment,CPC
adv_0034,auto,CPC
adv_0035,gaming,CPC
adv_0036,cpg,CPM
adv_0037,gaming,CPM
adv_0038,finance,CPM
adv_0039,travel,CPM
adv_0040,travel,CPM
adv_0041,entertainment,CPM
adv_0042,auto,CPM
adv_0043,auto,CPM
adv_0044,entertainment,CPC
adv_0045,ecommerce,CPC
adv_0046,entertainment,CPI
adv_0047,ecommerce,CPC
adv_0048,finance,CPM
adv_0049,finance,CPM
adv_0050,travel,CPM
adv_0051,travel,CPM
adv_0052,auto,CPC
adv_0053,travel,CPC
adv_0054,gaming,CPI
adv_0055,travel,CPM
adv_0056,entertainment,CPM
adv_0057,auto,CPM
adv_0058,auto,CPM
adv_0059,auto,CPC
adv_0060,ecommerce,CPM
adv_0061,gaming,CPI
adv_0062,ecommerce,CPI
adv_0063,gaming,CPI
adv_0064,finance,CPC
adv_0065,travel,CPM
adv_0066,auto,CPM
adv_0067,auto,CPC
adv_0068,finance,CPM
adv_0069,gaming,CPM
adv_0070,ecommerce,CPM
adv_0071,entertainment,CPC
adv_0072,travel,CPM
adv_0073,entertainment,CPM
adv_0074,cpg,CPI
adv_0075,entertainment,CPM
adv_0076,entertainment,CPM
adv_0077,auto,CPM
adv_0078,travel,CPM
adv_0079,ecommerce,CPM
adv_0080,cpg,CPC
adv_0081,auto,CPM
adv_0082,cpg,CPM
adv_0083,entertainment,CPC
adv_0084,entertainment,CPI
adv_0085,cpg,CPM
adv_0086,ecommerce,CPM
adv_0087,ecommerce,CPC
adv_0088,auto,CPI
adv_0089,entertainment,CPC
adv_0090,auto,CPI
adv_0091,finance,CPC
adv_0092,auto,CPI
adv_0093,travel,CPC
adv_0094,auto,CPI
adv_0095,cpg,CPC
adv_0096,entertainment,CPM
adv_0097,ecommerce,CPC
adv_0098,auto,CPI
adv_0099,cpg,CPM
adv_0100,finance,CPM
adv_0101,gaming,CPM
adv_0102,ecommerce,CPI
adv_0103,ecommerce,CPI
adv_0104,entertainment,CPC
adv_0105,entertainment,CPI
adv_0106,entertainment,CPM
adv_0107,travel,CPC
adv_0108,finance,CPC
adv_0109,auto,CPM
adv_0110,ecommerce,CPC
adv_0111,travel,CPM
adv_0112,auto,CPI
adv_0113,cpg,CPC
adv_0114,entertainment,CPM
adv_0115,travel,CPM
adv_0116,finance,CPM
adv_0117,cpg,CPM
adv_0118,ecommerce,CPC
adv_0119,auto,CPC
adv_0120,entertainment,CPC
adv_0121,finance,CPC
adv_0122,travel,CPM
adv_0123,cpg,CPI
adv_0124,gaming,CPM
adv_0125,entertainment,CPC
adv_0126,ecommerce,CPM
adv_0127,gaming,CPI
adv_0128,entertainment,CPM
adv_0129,travel,CPM
adv_0130,entertainment,CPC
adv_0131,gaming,CPM
adv_0132,ecommerce,CPC
adv_0133,gaming,CPM
adv_0134,auto,CPM
adv_0135,finance,CPC
adv_0136,auto,CPM
adv_0137,ecommerce,CPM
adv_0138,finance,CPC
adv_0139,travel,CPM
adv_0140,ecommerce,CPM
adv_0141,cpg,CPC
adv_0142,auto,CPM
adv_0143,gaming,CPM
adv_0144,entertainment,CPC
adv_0145,travel,CPM
adv_0146,travel,CPM
adv_0147,travel,CPM
adv_0148,entertainment,CPM
adv_0149,gaming,CPM
adv_0150,entertainment,CPM
adv_0151,entertainment,CPI
adv_0152,entertainment,CPM
adv_0153,travel,CPM
adv_0154,finance,CPM
adv_0155,entertainment,CPC
adv_0156,finance,CPM
adv_0157,finance,CPI
adv_0158,entertainment,CPI
adv_0159,finance,CPM
adv_0160,cpg,CPC
adv_0161,travel,CPC
adv_0162,auto,CPM
adv_0163,travel,CPM
adv_0164,ecommerce,CPM
adv_0165,entertainment,CPI
adv_0166,auto,CPM
adv_0167,entertainment,CPM
adv_0168,cpg,CPC
adv_0169,finance,CPM
adv_0170,entertainment,CPI
adv_0171,entertainment,CPM
adv_0172,entertainment,CPM
adv_0173,travel,CPM
adv_0174,gaming,CPC
adv_0175,gaming,CPC
adv_0176,finance,CPC
adv_0177,entertainment,CPC
adv_0178,entertainment,CPM
adv_0179,travel,CPM
adv_0180,ecommerce,CPM
adv_0181,travel,CPI
adv_0182,gaming,CPI
adv_0183,ecommerce,CPI
adv_0184,cpg,CPM
adv_0185,gaming,CPC
adv_0186,gaming,CPM
adv_0187,gaming,CPI
adv_0188,ecommerce,CPM
adv_0189,ecommerce,CPM
adv_0190,ecommerce,CPM
adv_0191,cpg,CPC
adv_0192,auto,CPM
adv_0193,auto,CPI
adv_0194,gaming,CPC
adv_0195,ecommerce,CPI
adv_0196,finance,CPI
adv_0197,auto,CPC
adv_0198,travel,CPC
adv_0199,ecommerce,CPM
adv_0200,cpg,CPM
adv_0201,ecommerce,CPM
adv_0202,gaming,CPM
adv_0203,ecommerce,CPM
adv_0204,finance,CPC
adv_0205,travel,CPM
adv_0206,auto,CPI
adv_0207,finance,CPM
adv_0208,auto,CPC
adv_0209,gaming,CPI
adv_0210,ecommerce,CPM
adv_0211,entertainment,CPC
adv_0212,finance,CPC
adv_0213,gaming,CPM
adv_0214,cpg,CPC
adv_0215,ecommerce,CPC
adv_0216,gaming,CPM
adv_0217,finance,CPM
adv_0218,ecommerce,CPM
adv_0219,ecommerce,CPM
adv_0220,cpg,CPC
adv_0221,cpg,CPM
adv_0222,auto,CPM
adv_0223,ecommerce,CPM
adv_0224,finance,CPM
adv_0225,finance,CPC
adv_0226,gaming,CPC
adv_0227,gaming,CPM
adv_0228,cpg,CPM
adv_0229,cpg,CPI
adv_0230,ecommerce,CPC
adv_0231,ecommerce,CPM
adv_0232,travel,CPM
adv_0233,entertainment,CPC
adv_0234,auto,CPI
adv_0235,auto,CPC
adv_0236,ecommerce,CPC
adv_0237,gaming,CPM
adv_0238,ecommerce,CPM
adv_0239,entertainment,CPM
adv_0240,entertainment,CPC
adv_0241,travel,CPI
adv_0242,finance,CPC
adv_0243,auto,CPC
adv_0244,auto,CPC
adv_0245,auto,CPM
adv_0246,gaming,CPM
adv_0247,travel,CPC
adv_0248,entertainment,CPM
adv_0249,auto,CPC
adv_0250,finance,CPC
adv_0251,gaming,CPM
adv_0252,ecommerce,CPC
adv_0253,auto,CPM
adv_0254,gaming,CPC
adv_0255,entertainment,CPI
adv_0256,ecommerce,CPI
adv_0257,travel,CPM
adv_0258,entertainment,CPM
adv_0259,ecommerce,CPI
adv_0260,ecommerce,CPI
adv_0261,travel,CPC
adv_0262,ecommerce,CPM
adv_0263,ecommerce,CPC
adv_0264,ecommerce,CPC
adv_0265,auto,CPC
adv_0266,ecommerce,CPC
adv_0267,travel,CPM
adv_0268,auto,CPM
adv_0269,entertainment,CPC
adv_0270,ecommerce,CPC
adv_0271,cpg,CPC
adv_0272,gaming,CPM
adv_0273,cpg,CPI
adv_0274,cpg,CPM
adv_0275,entertainment,CPI
adv_0276,entertainment,CPM
adv_0277,auto,CPM
adv_0278,ecommerce,CPM
adv_0279,travel,CPC
adv_0280,travel,CPM
adv_0281,travel,CPC
adv_0282,ecommerce,CPM
adv_0283,cpg,CPM
adv_0284,travel,CPI
adv_0285,gaming,CPM
adv_0286,cpg,CPM
adv_0287,finance,CPI
adv_0288,cpg,CPM
adv_0289,travel,CPC
adv_0290,entertainment,CPI
adv_0291,ecommerce,CPM
adv_0292,auto,CPC
adv_0293,ecommerce,CPM
adv_0294,auto,CPM
adv_0295,entertainment,CPI
adv_0296,travel,CPM
adv_0297,cpg,CPC
adv_0298,ecommerce,CPI
adv_0299,travel,CPM
adv_0300,ecommerce,CPC
adv_0301,finance,CPM
adv_0302,cpg,CPC
adv_0303,gaming,CPM
adv_0304,travel,CPC
adv_0305,cpg,CPM
adv_0306,gaming,CPC
adv_0307,cpg,CPC
adv_0308,entertainment,CPM
adv_0309,gaming,CPI
adv_0310,cpg,CPC
adv_0311,travel,CPI
adv_0312,auto,CPC
adv_0313,cpg,CPM
adv_0314,cpg,CPM
adv_0315,cpg,CPI
adv_0316,entertainment,CPM
adv_0317,auto,CPM
adv_0318,travel,CPC
adv_0319,gaming,CPC
adv_0320,finance,CPI
adv_0321,travel,CPM
adv_0322,gaming,CPC
adv_0323,entertainment,CPC
adv_0324,cpg,CPI
adv_0325,ecommerce,CPM
adv_0326,auto,CPI
adv_0327,gaming,CPM
adv_0328,gaming,CPI
adv_0329,auto,CPM
adv_0330,travel,CPC
adv_0331,gaming,CPM
adv_0332,travel,CPC
adv_0333,travel,CPM
adv_0334,cpg,CPM
adv_0335,auto,CPC
adv_0336,entertainment,CPM
adv_0337,cpg,CPC
adv_0338,gaming,CPC
adv_0339,entertainment,CPM
adv_0340,travel,CPM
adv_0341,finance,CPC
adv_0342,cpg,CPC
adv_0343,travel,CPM
adv_0344,finance,CPC
adv_0345,travel,CPC
adv_0346,entertainment,CPC
adv_0347,gaming,CPC
adv_0348,travel,CPI
adv_0349,cpg,CPM
adv_0350,auto,CPI
adv_0351,entertainment,CPM
adv_0352,ecommerce,CPM
adv_0353,ecommerce,CPC
adv_0354,travel,CPM
adv_0355,ecommerce,CPM
adv_0356,finance,CPC
adv_0357,entertainment,CPC
adv_0358,entertainment,CPI
adv_0359,ecommerce,CPM
adv_0360,entertainment,CPC
adv_0361,cpg,CPC
adv_0362,entertainment,CPI
adv_0363,gaming,CPC
adv_0364,ecommerce,CPM
adv_0365,cpg,CPM
adv_0366,auto,CPM
adv_0367,cpg,CPM
adv_0368,finance,CPI
adv_0369,auto,CPI
adv_0370,auto,CPM
adv_0371,gaming,CPC
adv_0372,ecommerce,CPM
adv_0373,gaming,CPM
adv_0374,finance,CPM
adv_0375,travel,CPI
adv_0376,cpg,CPM
adv_0377,auto,CPC
adv_0378,gaming,CPM
adv_0379,ecommerce,CPC
adv_0380,gaming,CPC
adv_0381,auto,CPI
adv_0382,finance,CPC
adv_0383,travel,CPI
adv_0384,gaming,CPC
adv_0385,entertainment,CPM
adv_0386,travel,CPC
adv_0387,cpg,CPM
adv_0388,gaming,CPC
adv_0389,auto,CPI
adv_0390,cpg,CPI
adv_0391,auto,CPM
adv_0392,cpg,CPM
adv_0393,ecommerce,CPI
adv_0394,gaming,CPC
adv_0395,entertainment,CPM
adv_0396,travel,CPM
adv_0397,cpg,CPC
adv_0398,travel,CPM
adv_0399,gaming,CPM
adv_0400,finance,CPM
adv_0401,gaming,CPI
adv_0402,auto,CPM
adv_0403,entertainment,CPI
adv_0404,auto,CPI
adv_0405,auto,CPM
adv_0406,auto,CPI
adv_0407,ecommerce,CPM
adv_0408,cpg,CPM
adv_0409,cpg,CPI
adv_0410,entertainment,CPC
adv_0411,cpg,CPM
adv_0412,finance,CPM
adv_0413,gaming,CPM
adv_0414,finance,CPM
adv_0415,ecommerce,CPC
adv_0416,entertainment,CPC
adv_0417,ecommerce,CPM
adv_0418,entertainment,CPC
adv_0419,travel,CPI
adv_0420,ecommerce,CPI
adv_0421,finance,CPM
adv_0422,entertainment,CPI
adv_0423,auto,CPI
adv_0424,gaming,CPI
adv_0425,entertainment,CPM
adv_0426,travel,CPM
adv_0427,gaming,CPI
adv_0428,auto,CPC
adv_0429,auto,CPM
adv_0430,entertainment,CPM
adv_0431,ecommerce,CPI
adv_0432,entertainment,CPC
adv_0433,travel,CPM
adv_0434,auto,CPI
adv_0435,auto,CPM
adv_0436,travel,CPC
adv_0437,auto,CPM
adv_0438,gaming,CPM
adv_0439,finance,CPC
adv_0440,entertainment,CPM
adv_0441,ecommerce,CPC
adv_0442,travel,CPC
adv_0443,entertainment,CPM
adv_0444,gaming,CPM
adv_0445,gaming,CPI
adv_0446,cpg,CPC
adv_0447,travel,CPI
adv_0448,gaming,CPI
adv_0449,gaming,CPM
adv_0450,finance,CPI
adv_0451,gaming,CPI
adv_0452,finance,CPM
adv_0453,travel,CPM
adv_0454,finance,CPI
adv_0455,entertainment,CPM
adv_0456,ecommerce,CPC
adv_0457,cpg,CPC
adv_0458,travel,CPC
adv_0459,travel,CPC
adv_0460,travel,CPC
adv_0461,gaming,CPI
adv_0462,travel,CPM
adv_0463,cpg,CPM
adv_0464,auto,CPC
adv_0465,cpg,CPM
adv_0466,ecommerce,CPM
adv_0467,auto,CPI
adv_0468,ecommerce,CPM
adv_0469,travel,CPC
adv_0470,entertainment,CPI
adv_0471,ecommerce,CPM
adv_0472,entertainment,CPC
adv_0473,gaming,CPC
adv_0474,travel,CPI
adv_0475,auto,CPM
adv_0476,travel,CPC
adv_0477,ecommerce,CPC
adv_0478,entertainment,CPM
